# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.02            	9.37573625e-03	4.68786812e-03	4.68786812e-03	-3.60636980e-01	-1.03120285e-01	-2.57516695e-01	7.71982047e-02	1.66828116e-19	4.33714927e-21	0.00000000e+00	4.33714927e-21	-4.33714927e-21
0.04            	1.62256457e-02	8.11282283e-03	8.11282283e-03	-3.69537108e-01	-1.15080916e-01	-2.54456192e-01	6.96876384e-02	1.70945252e-19	7.50586892e-21	0.00000000e+00	7.50586892e-21	-7.50586892e-21
0.06            	2.11372655e-02	1.05686328e-02	1.05686328e-02	-3.80497304e-01	-1.24833451e-01	-2.55663853e-01	6.54152009e-02	1.76015362e-19	9.77794954e-21	0.00000000e+00	9.77794954e-21	-9.77794954e-21
0.08            	2.45473802e-02	1.22736901e-02	1.22736901e-02	-3.91197375e-01	-1.32321197e-01	-2.58876177e-01	6.32774902e-02	1.80965139e-19	1.13554445e-20	0.00000000e+00	1.13554445e-20	-1.13554445e-20
0.1             	2.67860701e-02	1.33930351e-02	1.33930351e-02	-4.00218530e-01	-1.37648886e-01	-2.62569644e-01	6.24603790e-02	1.85138261e-19	1.23910466e-20	0.00000000e+00	1.23910466e-20	-1.23910466e-20
0.12            	2.81714620e-02	1.40857310e-02	1.40857310e-02	-4.06494065e-01	-1.40987719e-01	-2.65506346e-01	6.22593136e-02	1.88041279e-19	1.30319191e-20	0.00000000e+00	1.30319191e-20	-1.30319191e-20
0.14            	2.90055151e-02	1.45027575e-02	1.45027575e-02	-4.09505624e-01	-1.42664539e-01	-2.66841085e-01	6.20882734e-02	1.89434405e-19	1.34177461e-20	0.00000000e+00	1.34177461e-20	-1.34177461e-20
0.16            	2.95826598e-02	1.47913299e-02	1.47913299e-02	-4.09248768e-01	-1.43182622e-01	-2.66066146e-01	6.14417617e-02	1.89315585e-19	1.36847292e-20	0.00000000e+00	1.36847292e-20	-1.36847292e-20
0.18            	3.01602268e-02	1.50801134e-02	1.50801134e-02	-4.06261796e-01	-1.43148204e-01	-2.63113592e-01	5.99826937e-02	1.87933833e-19	1.39519076e-20	0.00000000e+00	1.39519076e-20	-1.39519076e-20
0.2             	3.09260270e-02	1.54630135e-02	1.54630135e-02	-4.01769344e-01	-1.43166986e-01	-2.58602358e-01	5.77176860e-02	1.85855657e-19	1.43061614e-20	0.00000000e+00	1.43061614e-20	-1.43061614e-20
0.22            	3.18573606e-02	1.59286803e-02	1.59286803e-02	-3.97133051e-01	-1.43528536e-01	-2.53604515e-01	5.50379892e-02	1.83710940e-19	1.47369897e-20	0.00000000e+00	1.47369897e-20	-1.47369897e-20
0.24            	3.28814081e-02	1.64407040e-02	1.64407040e-02	-3.92813163e-01	-1.44227399e-01	-2.48585763e-01	5.21791820e-02	1.81712591e-19	1.52107068e-20	0.00000000e+00	1.52107068e-20	-1.52107068e-20
0.26            	3.38976545e-02	1.69488272e-02	1.69488272e-02	-3.89122919e-01	-1.45157201e-01	-2.43965718e-01	4.94042586e-02	1.80005510e-19	1.56808152e-20	0.00000000e+00	1.56808152e-20	-1.56808152e-20
0.28            	3.47841041e-02	1.73920520e-02	1.73920520e-02	-3.86477221e-01	-1.46122698e-01	-2.40354523e-01	4.71159127e-02	1.78781629e-19	1.60908805e-20	0.00000000e+00	1.60908805e-20	-1.60908805e-20
0.3             	3.55299506e-02	1.77649753e-02	1.77649753e-02	-3.84982377e-01	-1.47009895e-01	-2.37972482e-01	4.54812935e-02	1.78090125e-19	1.64359039e-20	0.00000000e+00	1.64359039e-20	-1.64359039e-20
0.32            	3.60938540e-02	1.80469270e-02	1.80469270e-02	-3.84498274e-01	-1.47767079e-01	-2.36731195e-01	4.44820581e-02	1.77866182e-19	1.66967616e-20	0.00000000e+00	1.66967616e-20	-1.66967616e-20
0.34            	3.64886092e-02	1.82443046e-02	1.82443046e-02	-3.84627266e-01	-1.48398060e-01	-2.36229205e-01	4.39155724e-02	1.77925853e-19	1.68793725e-20	0.00000000e+00	1.68793725e-20	-1.68793725e-20
0.36            	3.67893639e-02	1.83946820e-02	1.83946820e-02	-3.85033954e-01	-1.48937017e-01	-2.36096937e-01	4.35799602e-02	1.78113984e-19	1.70184995e-20	0.00000000e+00	1.70184995e-20	-1.70184995e-20
0.38            	3.70423452e-02	1.85211726e-02	1.85211726e-02	-3.85545850e-01	-1.49411906e-01	-2.36133943e-01	4.33610183e-02	1.78350783e-19	1.71355269e-20	0.00000000e+00	1.71355269e-20	-1.71355269e-20
0.4             	3.72560077e-02	1.86280038e-02	1.86280038e-02	-3.86108884e-01	-1.49834644e-01	-2.36274239e-01	4.32197974e-02	1.78611239e-19	1.72343656e-20	0.00000000e+00	1.72343656e-20	-1.72343656e-20
0.42            	3.74241724e-02	1.87120862e-02	1.87120862e-02	-3.86728057e-01	-1.50202040e-01	-2.36526017e-01	4.31619885e-02	1.78897664e-19	1.73121575e-20	0.00000000e+00	1.73121575e-20	-1.73121575e-20
