# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	p               	8.47685754e-01	(6.56300376e-01 8.90884355e-02 -3.66541927e-19)	13	1.17073598e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.04            	p               	7.36552638e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.32608985e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.06            	p               	6.53628919e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.46410219e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.08            	p               	5.93133166e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.58188672e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.1             	p               	5.51712170e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.67669292e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.12            	p               	5.27249605e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.74498969e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.14            	p               	5.21102872e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.78198606e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.16            	p               	5.33556859e-01	(9.68798052e-01 3.53642022e-02 -7.29759770e-20)	0	1.78209677e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.18            	p               	4.95106158e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.74755229e+00	(4.68698630e-01 1.10578118e-01 4.99158216e-20)	13
0.2             	p               	4.47033372e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.74724213e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.22            	p               	4.04201762e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.78311702e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.24            	p               	3.70442649e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.80936123e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.26            	p               	3.48027274e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.83054797e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.28            	p               	3.30545716e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.85016380e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.3             	p               	3.18136110e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.86946528e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.32            	p               	3.10736842e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.88748137e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.34            	p               	3.07835789e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.90308809e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.36            	p               	3.08261188e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.91599028e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.38            	p               	3.10596763e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.92631035e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.4             	p               	3.13238634e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.93428722e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.42            	p               	3.15069088e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94021648e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.44            	p               	3.16398734e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94452330e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.46            	p               	3.18416220e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94787962e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.48            	p               	3.21610328e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95095167e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.5             	p               	3.25486800e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95393734e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.52            	p               	3.28519505e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95652848e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.54            	p               	3.29794657e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95829687e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.56            	p               	3.30300003e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95901424e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.58            	p               	3.31262385e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95874926e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.6             	p               	3.33502027e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95777862e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.62            	p               	3.36829927e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95643715e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.64            	p               	3.40515440e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95500267e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.66            	p               	3.43981694e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95366133e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.68            	p               	3.47034469e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95256391e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.7             	p               	3.49705496e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95189726e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.72            	p               	3.52107219e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95184835e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.74            	p               	3.54426154e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95242953e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.76            	p               	3.56888546e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95333283e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.78            	p               	3.59627491e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95403996e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.8             	p               	3.62574704e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95413401e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.82            	p               	3.65498456e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95349992e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.84            	p               	3.68186629e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95230365e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.86            	p               	3.70628582e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95091153e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.88            	p               	3.72997987e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94981913e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.9             	p               	3.75448718e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94946977e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.92            	p               	3.77954307e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.94996650e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.94            	p               	3.80309598e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95096838e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.96            	p               	3.82261152e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95193612e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
0.98            	p               	3.83690413e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95249670e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1               	p               	3.84730258e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95260465e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.02            	p               	3.85680596e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95243991e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.04            	p               	3.86770704e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95219897e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.06            	p               	3.88010061e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95195513e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.08            	p               	3.89242506e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95166800e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
1.1             	p               	3.90291636e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128858e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
