# Region type : patch airfoilFront
# Faces         : 8
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	1.15866637e+00
0.04            	1.29236046e+00
0.06            	1.40104351e+00
0.08            	1.48515492e+00
0.1             	1.54596363e+00
0.12            	1.58553457e+00
0.14            	1.60721136e+00
0.16            	1.61565698e+00
0.18            	1.61646499e+00
0.2             	1.61604671e+00
0.22            	1.61785428e+00
0.24            	1.62202005e+00
0.26            	1.62782494e+00
0.28            	1.63449344e+00
0.3             	1.64215161e+00
0.32            	1.64975068e+00
0.34            	1.65638040e+00
0.36            	1.66229499e+00
0.38            	1.66774554e+00
0.4             	1.67271490e+00
0.42            	1.67711898e+00
0.44            	1.68105505e+00
0.46            	1.68476062e+00
0.48            	1.68838369e+00
0.5             	1.69182627e+00
0.52            	1.69498948e+00
0.54            	1.69781164e+00
0.56            	1.70024780e+00
0.58            	1.70226820e+00
0.6             	1.70392190e+00
0.62            	1.70530774e+00
0.64            	1.70654160e+00
0.66            	1.70763996e+00
0.68            	1.70861640e+00
0.7             	1.70950462e+00
0.72            	1.71034569e+00
0.74            	1.71115039e+00
0.76            	1.71188381e+00
0.78            	1.71248334e+00
0.8             	1.71289458e+00
0.82            	1.71309893e+00
0.84            	1.71312285e+00
0.86            	1.71304700e+00
0.88            	1.71298694e+00
0.9             	1.71302000e+00
0.92            	1.71312780e+00
0.94            	1.71324819e+00
0.96            	1.71334720e+00
0.98            	1.71342726e+00
1               	1.71350243e+00
1.02            	1.71357518e+00
1.04            	1.71362767e+00
1.06            	1.71363083e+00
1.08            	1.71356793e+00
1.1             	1.71345272e+00
1.12            	1.71332532e+00
1.14            	1.71323177e+00
1.16            	1.71320131e+00
1.18            	1.71323290e+00
1.2             	1.71330035e+00
1.22            	1.71337209e+00
1.24            	1.71342756e+00
1.26            	1.71345959e+00
1.28            	1.71346877e+00
1.3             	1.71345793e+00
1.32            	1.71342917e+00
1.34            	1.71338726e+00
1.36            	1.71334160e+00
1.38            	1.71330304e+00
1.4             	1.71327953e+00
1.42            	1.71327459e+00
1.44            	1.71328774e+00
1.46            	1.71331464e+00
1.48            	1.71334782e+00
1.5             	1.71337883e+00
1.52            	1.71340101e+00
1.54            	1.71341145e+00
1.56            	1.71341083e+00
1.58            	1.71340219e+00
1.6             	1.71338980e+00
1.62            	1.71337774e+00
1.64            	1.71336880e+00
1.66            	1.71336434e+00
1.68            	1.71336480e+00
1.7             	1.71337017e+00
1.72            	1.71338014e+00
1.74            	1.71339371e+00
1.76            	1.71340844e+00
1.78            	1.71342076e+00
1.8             	1.71342743e+00
1.82            	1.71342689e+00
1.84            	1.71341970e+00
1.86            	1.71340850e+00
1.88            	1.71339707e+00
1.9             	1.71338893e+00
1.92            	1.71338601e+00
1.94            	1.71338800e+00
1.96            	1.71339256e+00
1.98            	1.71339656e+00
2               	1.71339755e+00
2.02            	1.71339492e+00
2.04            	1.71339001e+00
2.06            	1.71338522e+00
2.08            	1.71338258e+00
2.1             	1.71338258e+00
2.12            	1.71338370e+00
2.14            	1.71338324e+00
2.16            	1.71337868e+00
2.18            	1.71336917e+00
2.2             	1.71335622e+00
2.22            	1.71334343e+00
2.24            	1.71333502e+00
2.26            	1.71333410e+00
2.28            	1.71334142e+00
2.3             	1.71335512e+00
2.32            	1.71337139e+00
2.34            	1.71338583e+00
2.36            	1.71339501e+00
2.38            	1.71339761e+00
2.4             	1.71339477e+00
2.42            	1.71338914e+00
2.44            	1.71338346e+00
2.46            	1.71337968e+00
2.48            	1.71337894e+00
2.5             	1.71338186e+00
2.52            	1.71338852e+00
2.54            	1.71339804e+00
2.56            	1.71340839e+00
2.58            	1.71341661e+00
2.6             	1.71341962e+00
2.62            	1.71341544e+00
2.64            	1.71340452e+00
2.66            	1.71339021e+00
2.68            	1.71337754e+00
2.7             	1.71337090e+00
2.72            	1.71337170e+00
2.74            	1.71337741e+00
2.76            	1.71338281e+00
2.78            	1.71338267e+00
2.8             	1.71337474e+00
2.82            	1.71336102e+00
2.84            	1.71334664e+00
2.86            	1.71333733e+00
2.88            	1.71333652e+00
2.9             	1.71334339e+00
2.92            	1.71335334e+00
2.94            	1.71336051e+00
2.96            	1.71336092e+00
2.98            	1.71335450e+00
3               	1.71334527e+00
3.02            	1.71333942e+00
3.04            	1.71334227e+00
3.06            	1.71335541e+00
3.08            	1.71337552e+00
3.1             	1.71339563e+00
3.12            	1.71340824e+00
3.14            	1.71340888e+00
3.16            	1.71339820e+00
3.18            	1.71338163e+00
3.2             	1.71336737e+00
3.22            	1.71336282e+00
3.24            	1.71337087e+00
3.26            	1.71338843e+00
3.28            	1.71340795e+00
3.3             	1.71342081e+00
3.32            	1.71342142e+00
3.34            	1.71340967e+00
3.36            	1.71339067e+00
3.38            	1.71337229e+00
3.4             	1.71336139e+00
3.42            	1.71336070e+00
3.44            	1.71336755e+00
3.46            	1.71337532e+00
3.48            	1.71337693e+00
3.5             	1.71336844e+00
3.52            	1.71335108e+00
3.54            	1.71333086e+00
3.56            	1.71331588e+00
3.58            	1.71331263e+00
3.6             	1.71332319e+00
3.62            	1.71334407e+00
3.64            	1.71336731e+00
3.66            	1.71338368e+00
3.68            	1.71338679e+00
3.7             	1.71337605e+00
3.72            	1.71335721e+00
3.74            	1.71334007e+00
3.76            	1.71333413e+00
3.78            	1.71334427e+00
3.8             	1.71336844e+00
3.82            	1.71339846e+00
3.84            	1.71342343e+00
3.86            	1.71343398e+00
3.88            	1.71342652e+00
3.9             	1.71340528e+00
3.92            	1.71338013e+00
3.94            	1.71336188e+00
3.96            	1.71335763e+00
3.98            	1.71336820e+00
4               	1.71338822e+00
4.02            	1.71340840e+00
4.04            	1.71341946e+00
4.06            	1.71341598e+00
4.08            	1.71339834e+00
4.1             	1.71337260e+00
4.12            	1.71334786e+00
4.14            	1.71333227e+00
4.16            	1.71332970e+00
4.18            	1.71333847e+00
4.2             	1.71335227e+00
4.22            	1.71336301e+00
4.24            	1.71336449e+00
4.26            	1.71335510e+00
4.28            	1.71333847e+00
4.3             	1.71332196e+00
4.32            	1.71331377e+00
4.34            	1.71331937e+00
4.36            	1.71333870e+00
4.38            	1.71336573e+00
4.4             	1.71339079e+00
4.42            	1.71340474e+00
4.44            	1.71340308e+00
4.46            	1.71338790e+00
4.48            	1.71336720e+00
4.5             	1.71335144e+00
4.52            	1.71334900e+00
4.54            	1.71336252e+00
4.56            	1.71338759e+00
4.58            	1.71341434e+00
4.6             	1.71343212e+00
4.62            	1.71343407e+00
4.64            	1.71341969e+00
4.66            	1.71339478e+00
4.68            	1.71336913e+00
4.7             	1.71335252e+00
4.72            	1.71335080e+00
4.74            	1.71336354e+00
4.76            	1.71338415e+00
4.78            	1.71340239e+00
4.8             	1.71340868e+00
4.82            	1.71339809e+00
4.84            	1.71337258e+00
4.86            	1.71334020e+00
4.88            	1.71331199e+00
4.9             	1.71329761e+00
4.92            	1.71330156e+00
4.94            	1.71332174e+00
4.96            	1.71335015e+00
4.98            	1.71337584e+00
5               	1.71338914e+00
5.02            	1.71338561e+00
5.04            	1.71336794e+00
5.06            	1.71334497e+00
5.08            	1.71332802e+00
5.1             	1.71332598e+00
5.12            	1.71334149e+00
5.14            	1.71336988e+00
5.16            	1.71340124e+00
5.18            	1.71342452e+00
5.2             	1.71343183e+00
5.22            	1.71342114e+00
5.24            	1.71339782e+00
5.26            	1.71337251e+00
5.28            	1.71335630e+00
5.3             	1.71335593e+00
5.32            	1.71337126e+00
5.34            	1.71339586e+00
5.36            	1.71341959e+00
5.38            	1.71343246e+00
5.4             	1.71342867e+00
5.42            	1.71340865e+00
5.44            	1.71337902e+00
5.46            	1.71335006e+00
5.48            	1.71333142e+00
5.5             	1.71332835e+00
5.52            	1.71333981e+00
5.54            	1.71335901e+00
5.56            	1.71337627e+00
5.58            	1.71338303e+00
5.6             	1.71337538e+00
5.62            	1.71335567e+00
5.64            	1.71333146e+00
5.66            	1.71331252e+00
5.68            	1.71330708e+00
5.7             	1.71331851e+00
5.72            	1.71334352e+00
5.74            	1.71337323e+00
5.76            	1.71339674e+00
5.78            	1.71340584e+00
5.8             	1.71339842e+00
5.82            	1.71337932e+00
5.84            	1.71335827e+00
5.86            	1.71334575e+00
5.88            	1.71334853e+00
5.9             	1.71336680e+00
5.92            	1.71339414e+00
5.94            	1.71341991e+00
5.96            	1.71343408e+00
5.98            	1.71343174e+00
6               	1.71341470e+00
6.02            	1.71339030e+00
6.04            	1.71336825e+00
6.06            	1.71335678e+00
6.08            	1.71335950e+00
6.1             	1.71337415e+00
6.12            	1.71339346e+00
6.14            	1.71340801e+00
6.16            	1.71341023e+00
6.18            	1.71339747e+00
6.2             	1.71337325e+00
6.22            	1.71334576e+00
6.24            	1.71332440e+00
6.26            	1.71331612e+00
6.28            	1.71332261e+00
6.3             	1.71333985e+00
6.32            	1.71335979e+00
6.34            	1.71337356e+00
6.36            	1.71337533e+00
6.38            	1.71336468e+00
6.4             	1.71334664e+00
6.42            	1.71332986e+00
6.44            	1.71332303e+00
6.46            	1.71333104e+00
6.48            	1.71335270e+00
6.5             	1.71338095e+00
6.52            	1.71340582e+00
6.54            	1.71341857e+00
6.56            	1.71341543e+00
6.58            	1.71339899e+00
6.6             	1.71337716e+00
6.62            	1.71336026e+00
6.64            	1.71335644e+00
