# Region type : patch airfoilRear
# Faces         : 8
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	8.60900722e-01
0.04            	7.77047344e-01
0.06            	7.29741396e-01
0.08            	7.05550380e-01
0.1             	6.95260144e-01
0.12            	6.90832189e-01
0.14            	6.86020137e-01
0.16            	6.76136121e-01
0.18            	6.58601074e-01
0.2             	6.33861615e-01
0.22            	6.06090802e-01
0.24            	5.77733664e-01
0.26            	5.51263409e-01
0.28            	5.29778998e-01
0.3             	5.13749700e-01
0.32            	5.03439661e-01
0.34            	4.97532287e-01
0.36            	4.93895152e-01
0.38            	4.91311222e-01
0.4             	4.89494846e-01
0.42            	4.88558145e-01
0.44            	4.88493977e-01
0.46            	4.89080048e-01
0.48            	4.90166674e-01
0.5             	4.91804150e-01
0.52            	4.93970244e-01
0.54            	4.96549352e-01
0.56            	4.99381568e-01
0.58            	5.02303226e-01
0.6             	5.05216548e-01
0.62            	5.08133351e-01
0.64            	5.11112889e-01
0.66            	5.14146386e-01
0.68            	5.17124623e-01
0.7             	5.19947443e-01
0.72            	5.22609221e-01
0.74            	5.25185623e-01
0.76            	5.27761213e-01
0.78            	5.30374357e-01
0.8             	5.33005897e-01
0.82            	5.35596668e-01
0.84            	5.38070194e-01
0.86            	5.40339618e-01
0.88            	5.42335738e-01
0.9             	5.44062552e-01
0.92            	5.45610937e-01
0.94            	5.47088757e-01
0.96            	5.48555642e-01
0.98            	5.50013457e-01
1               	5.51424969e-01
1.02            	5.52743172e-01
1.04            	5.53933004e-01
1.06            	5.54996764e-01
1.08            	5.55962132e-01
1.1             	5.56819934e-01
1.12            	5.57533112e-01
1.14            	5.58072987e-01
1.16            	5.58447779e-01
1.18            	5.58709079e-01
1.2             	5.58931626e-01
1.22            	5.59177757e-01
1.24            	5.59471637e-01
1.26            	5.59798972e-01
1.28            	5.60120920e-01
1.3             	5.60385033e-01
1.32            	5.60546561e-01
1.34            	5.60593163e-01
1.36            	5.60552599e-01
1.38            	5.60475653e-01
1.4             	5.60403943e-01
1.42            	5.60351272e-01
1.44            	5.60315000e-01
1.46            	5.60297017e-01
1.48            	5.60306142e-01
1.5             	5.60345182e-01
1.52            	5.60394915e-01
1.54            	5.60435354e-01
1.56            	5.60428021e-01
1.58            	5.60345695e-01
1.6             	5.60217307e-01
1.62            	5.60103640e-01
1.64            	5.60062794e-01
1.66            	5.60107040e-01
1.68            	5.60220364e-01
1.7             	5.60356959e-01
1.72            	5.60393913e-01
1.74            	5.60294454e-01
1.76            	5.60128961e-01
1.78            	5.59988189e-01
1.8             	5.59931365e-01
1.82            	5.59976538e-01
1.84            	5.60105175e-01
1.86            	5.60288640e-01
1.88            	5.60429959e-01
1.9             	5.60454343e-01
1.92            	5.60351520e-01
1.94            	5.60172423e-01
1.96            	5.59993264e-01
1.98            	5.59882917e-01
2               	5.59893834e-01
2.02            	5.60050494e-01
2.04            	5.60307291e-01
2.06            	5.60537841e-01
2.08            	5.60613662e-01
2.1             	5.60494031e-01
2.12            	5.60244011e-01
2.14            	5.59988191e-01
2.16            	5.59844078e-01
2.18            	5.59874851e-01
2.2             	5.60077809e-01
2.22            	5.60346473e-01
2.24            	5.60519096e-01
2.26            	5.60511921e-01
2.28            	5.60353078e-01
2.3             	5.60149861e-01
2.32            	5.60002935e-01
2.34            	5.59977102e-01
2.36            	5.60042955e-01
2.38            	5.60116314e-01
2.4             	5.60156732e-01
2.42            	5.60165274e-01
2.44            	5.60172203e-01
2.46            	5.60190962e-01
2.48            	5.60260322e-01
2.5             	5.60361704e-01
2.52            	5.60342786e-01
2.54            	5.60181981e-01
2.56            	5.59977273e-01
2.58            	5.59848205e-01
2.6             	5.59843646e-01
2.62            	5.59940649e-01
2.64            	5.60201762e-01
2.66            	5.60561483e-01
2.68            	5.60742375e-01
2.7             	5.60621800e-01
2.72            	5.60309300e-01
2.74            	5.60003169e-01
2.76            	5.59818526e-01
2.78            	5.59776559e-01
2.8             	5.59943841e-01
2.82            	5.60379323e-01
2.84            	5.60861667e-01
2.86            	5.61027610e-01
2.88            	5.60804609e-01
2.9             	5.60367281e-01
2.92            	5.59934405e-01
2.94            	5.59636032e-01
2.96            	5.59582263e-01
2.98            	5.59839501e-01
3               	5.60403921e-01
3.02            	5.60992984e-01
3.04            	5.61162140e-01
3.06            	5.60810944e-01
3.08            	5.60198812e-01
3.1             	5.59638196e-01
3.12            	5.59319126e-01
3.14            	5.59342645e-01
3.16            	5.59745377e-01
3.18            	5.60477117e-01
3.2             	5.61155322e-01
3.22            	5.61277970e-01
3.24            	5.60819711e-01
3.26            	5.60132818e-01
3.28            	5.59582513e-01
3.3             	5.59332630e-01
3.32            	5.59412262e-01
3.34            	5.59861838e-01
3.36            	5.60601440e-01
3.38            	5.61239902e-01
3.4             	5.61332215e-01
3.42            	5.60892569e-01
3.44            	5.60254872e-01
3.46            	5.59731040e-01
3.48            	5.59462848e-01
3.5             	5.59513792e-01
3.52            	5.59903193e-01
3.54            	5.60603868e-01
3.56            	5.61282495e-01
3.58            	5.61453009e-01
3.6             	5.61024427e-01
3.62            	5.60312688e-01
3.64            	5.59681000e-01
3.66            	5.59329045e-01
3.68            	5.59351461e-01
3.7             	5.59716200e-01
3.72            	5.60391934e-01
3.74            	5.61129525e-01
3.76            	5.61443654e-01
3.78            	5.61106271e-01
3.8             	5.60381079e-01
3.82            	5.59683697e-01
3.84            	5.59264395e-01
3.86            	5.59224056e-01
3.88            	5.59540474e-01
3.9             	5.60155182e-01
3.92            	5.60925786e-01
3.94            	5.61447411e-01
3.96            	5.61340250e-01
3.98            	5.60717201e-01
4               	5.59979722e-01
4.02            	5.59444965e-01
4.04            	5.59245207e-01
4.06            	5.59424183e-01
4.08            	5.59921250e-01
4.1             	5.60675739e-01
4.12            	5.61389048e-01
4.14            	5.61595073e-01
4.16            	5.61166947e-01
4.18            	5.60422960e-01
