# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.02            	3.88138502e-02	1.94069251e-02	1.94069251e-02	-4.12145340e-01	-1.56229307e-01	-2.55916032e-01	4.98433624e-02	-3.35204133e-20	-2.91052281e-21	0.00000000e+00	-2.91052281e-21	2.91052281e-21
0.04            	3.24670884e-02	1.62335442e-02	1.62335442e-02	-3.91913657e-01	-1.42463836e-01	-2.49449821e-01	5.34929921e-02	-3.14670613e-20	-2.81953019e-21	0.00000000e+00	-2.81953019e-21	2.81953019e-21
0.06            	3.08045839e-02	1.54022920e-02	1.54022920e-02	-3.89668781e-01	-1.39522857e-01	-2.50145924e-01	5.53115338e-02	-3.14278440e-20	-2.85688134e-21	0.00000000e+00	-2.85688134e-21	2.85688134e-21
0.08            	3.15833670e-02	1.57916835e-02	1.57916835e-02	-3.91661692e-01	-1.40848833e-01	-2.50812859e-01	5.49820130e-02	-3.14730615e-20	-3.00436641e-21	0.00000000e+00	-3.00436641e-21	3.00436641e-21
0.1             	3.16539690e-02	1.58269845e-02	1.58269845e-02	-3.90398154e-01	-1.40647857e-01	-2.49750296e-01	5.45512195e-02	-3.06255639e-20	-3.15103839e-21	0.00000000e+00	-3.15103839e-21	3.15103839e-21
0.12            	3.16978007e-02	1.58489003e-02	1.58489003e-02	-3.89773281e-01	-1.40508302e-01	-2.49264979e-01	5.43783388e-02	-3.05283474e-20	-3.15865190e-21	0.00000000e+00	-3.15865190e-21	3.15865190e-21
0.14            	3.17725733e-02	1.58862867e-02	1.58862867e-02	-3.89132526e-01	-1.40436389e-01	-2.48696137e-01	5.41298739e-02	-3.03353026e-20	-3.12436879e-21	0.00000000e+00	-3.12436879e-21	3.12436879e-21
0.16            	3.18401295e-02	1.59200648e-02	1.59200648e-02	-3.88446704e-01	-1.40361737e-01	-2.48084966e-01	5.38616146e-02	-2.99484733e-20	-3.04769940e-21	0.00000000e+00	-3.04769940e-21	3.04769940e-21
0.18            	3.20432416e-02	1.60216208e-02	1.60216208e-02	-3.87827727e-01	-1.40460098e-01	-2.47367629e-01	5.34537657e-02	-2.98734327e-20	-2.91287471e-21	0.00000000e+00	-2.91287471e-21	2.91287471e-21
0.2             	3.25123805e-02	1.62561902e-02	1.62561902e-02	-3.86799978e-01	-1.40903060e-01	-2.45896918e-01	5.24969293e-02	-2.97754130e-20	-2.85030639e-21	0.00000000e+00	-2.85030639e-21	2.85030639e-21
