# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	p               	5.11274797e-01	(9.96094498e-01 4.43649347e-03 1.13552554e-19)	14	1.79700589e+00	(4.96092944e-01 9.09512224e-02 -1.07850366e-19)	2
0.04            	p               	3.10500932e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.87973459e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.06            	p               	3.18344409e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94590413e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.08            	p               	3.21839778e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94647135e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.1             	p               	3.16500988e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94512510e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.12            	p               	3.14567147e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94325689e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.14            	p               	3.14245710e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94823582e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.16            	p               	3.17168582e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94312817e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.18            	p               	3.20174808e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94710943e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.2             	p               	3.19317045e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94473135e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.22            	p               	3.14465756e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94473698e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.24            	p               	3.08918829e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94575746e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.26            	p               	3.07092275e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94206867e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.28            	p               	3.08879579e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94805993e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.3             	p               	3.14517880e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94365671e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.32            	p               	3.20557921e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94829274e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.34            	p               	3.22552725e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94447287e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.36            	p               	3.21027550e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94288803e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.38            	p               	3.20051623e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94741549e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.4             	p               	3.21295390e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94388033e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.42            	p               	3.24568550e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94808263e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.44            	p               	3.28987180e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94422255e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.46            	p               	3.35137268e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94422706e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.48            	p               	3.41721873e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94675315e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.5             	p               	3.46502541e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94283427e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.52            	p               	3.48625276e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94852657e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.54            	p               	3.47797310e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94419858e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.56            	p               	3.48925341e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94612732e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.58            	p               	3.52059973e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94544363e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.6             	p               	3.57425530e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94248038e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.62            	p               	3.64216607e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94830846e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.64            	p               	3.70702988e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94406411e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.66            	p               	3.76851543e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94766130e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.68            	p               	3.81688642e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94466869e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.7             	p               	3.86866378e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94281540e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.72            	p               	3.90463823e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94762629e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.74            	p               	3.91598753e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94380233e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.76            	p               	3.91833282e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94833879e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.78            	p               	3.90899325e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94418526e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.8             	p               	3.90216830e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94429134e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.82            	p               	3.89472085e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94666157e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.84            	p               	3.89265071e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94300798e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.86            	p               	3.90183112e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94853710e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.88            	p               	3.90703629e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94413748e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.9             	p               	3.91312131e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94619716e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.92            	p               	3.90589389e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94550157e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.94            	p               	3.89997509e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94245474e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.96            	p               	3.89394611e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94832597e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
0.98            	p               	3.90158126e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94411345e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1               	p               	3.94072046e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94763120e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.02            	p               	3.99293720e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94464539e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.04            	p               	3.98586934e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94282100e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.06            	p               	3.95470753e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94764854e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.08            	p               	3.92436852e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94376757e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.1             	p               	3.90837875e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94834994e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.12            	p               	3.89405800e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94419187e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.14            	p               	3.89193136e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94430947e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.16            	p               	3.89199792e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94662719e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.18            	p               	3.89876678e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94301754e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.2             	p               	3.90066718e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94853732e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.22            	p               	3.88987491e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94413021e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.24            	p               	3.90831099e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94621091e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.26            	p               	3.94453461e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94550646e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.28            	p               	4.00422519e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94244784e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.3             	p               	3.97984322e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94831971e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.32            	p               	3.94229590e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411779e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.34            	p               	3.91754344e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94764038e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.36            	p               	3.89958305e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94463459e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.38            	p               	3.89601031e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94282904e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.4             	p               	3.90473439e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94764591e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.42            	p               	3.89038176e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94376021e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.44            	p               	3.93769521e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94835215e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.46            	p               	3.99448888e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94419147e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.48            	p               	3.96290710e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94432693e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.5             	p               	3.92856267e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94661433e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.52            	p               	3.90534823e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94301267e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.54            	p               	3.89931848e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94853837e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.56            	p               	3.90680350e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94413020e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.58            	p               	3.89217343e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94622273e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.6             	p               	3.93252792e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94550054e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
1.62            	p               	3.99229339e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94244546e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
