# Region type : patch airfoilFront
# Faces         : 64
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	1.77035488e+00
0.04            	1.61292221e+00
0.06            	1.58023667e+00
0.08            	1.59818357e+00
0.1             	1.59576680e+00
0.12            	1.59471318e+00
0.14            	1.59410643e+00
0.16            	1.59325889e+00
0.18            	1.59475109e+00
0.2             	1.59932313e+00
0.22            	1.60499121e+00
0.24            	1.61179744e+00
0.26            	1.61846137e+00
0.28            	1.62538860e+00
0.3             	1.63204079e+00
0.32            	1.63851672e+00
0.34            	1.64502480e+00
0.36            	1.65099335e+00
0.38            	1.65698337e+00
0.4             	1.66235954e+00
0.42            	1.66739865e+00
0.44            	1.67240880e+00
0.46            	1.67672989e+00
0.48            	1.68115656e+00
0.5             	1.68488061e+00
0.52            	1.68839890e+00
0.54            	1.69164954e+00
0.56            	1.69433366e+00
0.58            	1.69715436e+00
0.6             	1.69928223e+00
0.62            	1.70127911e+00
0.64            	1.70292294e+00
0.66            	1.70404312e+00
0.68            	1.70521351e+00
0.7             	1.70567457e+00
0.72            	1.70617417e+00
0.74            	1.70630523e+00
0.76            	1.70623796e+00
0.78            	1.70641105e+00
0.8             	1.70625061e+00
0.82            	1.70646997e+00
0.84            	1.70638726e+00
0.86            	1.70632695e+00
0.88            	1.70640070e+00
0.9             	1.70622445e+00
0.92            	1.70646547e+00
0.94            	1.70634797e+00
0.96            	1.70638888e+00
0.98            	1.70639970e+00
1               	1.70623049e+00
1.02            	1.70644425e+00
1.04            	1.70629595e+00
1.06            	1.70644224e+00
1.08            	1.70639962e+00
1.1             	1.70626734e+00
1.12            	1.70641668e+00
1.14            	1.70624864e+00
1.16            	1.70646850e+00
1.18            	1.70638563e+00
1.2             	1.70632569e+00
1.22            	1.70640094e+00
1.24            	1.70622442e+00
1.26            	1.70646574e+00
1.28            	1.70634768e+00
1.3             	1.70638961e+00
1.32            	1.70639904e+00
1.34            	1.70623032e+00
1.36            	1.70644348e+00
1.38            	1.70629515e+00
1.4             	1.70644221e+00
1.42            	1.70639959e+00
1.44            	1.70626774e+00
1.46            	1.70641661e+00
1.48            	1.70624851e+00
1.5             	1.70646852e+00
1.52            	1.70638534e+00
1.54            	1.70632601e+00
1.56            	1.70640076e+00
1.58            	1.70622420e+00
1.6             	1.70646570e+00
1.62            	1.70634736e+00
1.64            	1.70639020e+00
1.66            	1.70639914e+00
1.68            	1.70623054e+00
1.7             	1.70644314e+00
1.72            	1.70629468e+00
1.74            	1.70644254e+00
1.76            	1.70639950e+00
1.78            	1.70626815e+00
1.8             	1.70641656e+00
1.82            	1.70624827e+00
1.84            	1.70646852e+00
1.86            	1.70638512e+00
1.88            	1.70632657e+00
1.9             	1.70640061e+00
1.92            	1.70622406e+00
1.94            	1.70646571e+00
1.96            	1.70634704e+00
1.98            	1.70639064e+00
2               	1.70639914e+00
2.02            	1.70623077e+00
2.04            	1.70644285e+00
2.06            	1.70629416e+00
2.08            	1.70644297e+00
2.1             	1.70639954e+00
2.12            	1.70626857e+00
