# Region type : patch airfoilRear
# Faces         : 64
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	5.37659026e-01
0.04            	5.81794273e-01
0.06            	6.01908506e-01
0.08            	5.95121903e-01
0.1             	5.90462865e-01
0.12            	5.88017191e-01
0.14            	5.85035720e-01
0.16            	5.82042652e-01
0.18            	5.77084182e-01
0.2             	5.66756754e-01
0.22            	5.54893935e-01
0.24            	5.42383407e-01
0.26            	5.29828626e-01
0.28            	5.17495531e-01
0.3             	5.05512347e-01
0.32            	4.93990453e-01
0.34            	4.83583008e-01
0.36            	4.74974537e-01
0.38            	4.67882400e-01
0.4             	4.67097285e-01
0.42            	4.68682853e-01
0.44            	4.70606396e-01
0.46            	4.72822100e-01
0.48            	4.75187561e-01
0.5             	4.77719747e-01
0.52            	4.80374189e-01
0.54            	4.83101838e-01
0.56            	4.85916415e-01
0.58            	4.88727419e-01
0.6             	4.91614117e-01
0.62            	4.94495799e-01
0.64            	4.97394864e-01
0.66            	5.00375966e-01
0.68            	5.03403632e-01
0.7             	5.06527937e-01
0.72            	5.09631034e-01
0.74            	5.12771324e-01
0.76            	5.15925468e-01
0.78            	5.18923526e-01
0.8             	5.21850428e-01
0.82            	5.24566601e-01
0.84            	5.27178746e-01
0.86            	5.29683465e-01
0.88            	5.32009722e-01
0.9             	5.34277337e-01
0.92            	5.36376541e-01
0.94            	5.38367209e-01
0.96            	5.40205489e-01
0.98            	5.41914999e-01
1               	5.43535723e-01
1.02            	5.45012246e-01
1.04            	5.46435554e-01
1.06            	5.47728138e-01
1.08            	5.48897753e-01
1.1             	5.49944514e-01
1.12            	5.50808730e-01
1.14            	5.51570478e-01
1.16            	5.52146454e-01
1.18            	5.52571230e-01
1.2             	5.52868824e-01
1.22            	5.53003429e-01
1.24            	5.53093079e-01
1.26            	5.53098499e-01
1.28            	5.53120227e-01
1.3             	5.53154489e-01
1.32            	5.53174160e-01
1.34            	5.53215169e-01
1.36            	5.53206194e-01
1.38            	5.53213901e-01
1.4             	5.53201944e-01
1.42            	5.53171865e-01
1.44            	5.53172569e-01
1.46            	5.53162974e-01
1.48            	5.53213904e-01
1.5             	5.53234313e-01
1.52            	5.53245083e-01
1.54            	5.53243908e-01
1.56            	5.53205113e-01
1.58            	5.53199976e-01
1.6             	5.53164240e-01
1.62            	5.53184470e-01
1.64            	5.53227790e-01
1.66            	5.53238420e-01
1.68            	5.53261651e-01
1.7             	5.53223860e-01
1.72            	5.53215421e-01
1.74            	5.53187530e-01
1.76            	5.53166760e-01
1.78            	5.53206105e-01
1.8             	5.53221711e-01
1.82            	5.53260369e-01
1.84            	5.53243569e-01
1.86            	5.53223683e-01
1.88            	5.53210509e-01
1.9             	5.53165174e-01
1.92            	5.53185253e-01
1.94            	5.53204906e-01
1.96            	5.53245791e-01
1.98            	5.53261965e-01
2               	5.53228035e-01
2.02            	5.53222856e-01
2.04            	5.53175208e-01
2.06            	5.53171276e-01
2.08            	5.53192396e-01
2.1             	5.53221796e-01
2.12            	5.53262560e-01
2.14            	5.53233828e-01
2.16            	5.53226223e-01
2.18            	5.53193359e-01
2.2             	5.53163092e-01
2.22            	5.53175991e-01
2.24            	5.53189724e-01
2.26            	5.53229077e-01
2.28            	5.53217074e-01
2.3             	5.53217940e-01
2.32            	5.53215051e-01
2.34            	5.53172729e-01
2.36            	5.53170412e-01
2.38            	5.53173063e-01
2.4             	5.53231862e-01
2.42            	5.53253801e-01
2.44            	5.53231202e-01
2.46            	5.53220971e-01
2.48            	5.53172705e-01
2.5             	5.53161138e-01
2.52            	5.53162650e-01
2.54            	5.53199465e-01
2.56            	5.53243942e-01
2.58            	5.53228711e-01
2.6             	5.53224280e-01
2.62            	5.53187545e-01
2.64            	5.53160886e-01
2.66            	5.53161905e-01
2.68            	5.53176255e-01
2.7             	5.53234292e-01
2.72            	5.53232790e-01
2.74            	5.53230796e-01
2.76            	5.53207960e-01
2.78            	5.53167690e-01
2.8             	5.53164399e-01
2.82            	5.53160792e-01
2.84            	5.53217541e-01
2.86            	5.53235387e-01
2.88            	5.53230403e-01
2.9             	5.53220892e-01
2.92            	5.53177953e-01
2.94            	5.53171375e-01
2.96            	5.53162497e-01
2.98            	5.53195801e-01
3               	5.53232903e-01
3.02            	5.53233677e-01
3.04            	5.53233237e-01
3.06            	5.53183277e-01
