# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.02            	2.91525000e-02	1.45762500e-02	1.45762500e-02	-3.87365240e-01	-1.36879207e-01	-2.50486032e-01	5.68034124e-02	1.13819538e-19	8.26134410e-21	0.00000000e+00	8.26134410e-21	-8.26134410e-21
0.04            	3.74394050e-02	1.87197025e-02	1.87197025e-02	-4.11531730e-01	-1.54105624e-01	-2.57426106e-01	5.16602410e-02	1.19903053e-19	1.06716972e-20	0.00000000e+00	1.06716972e-20	-1.06716972e-20
0.06            	3.44451680e-02	1.72225840e-02	1.72225840e-02	-3.98730930e-01	-1.46829748e-01	-2.51901182e-01	5.25357172e-02	1.18065672e-19	9.77440540e-21	0.00000000e+00	9.77440540e-21	-9.77440540e-21
0.08            	3.25800684e-02	1.62900342e-02	1.62900342e-02	-3.91046415e-01	-1.42314111e-01	-2.48732304e-01	5.32090963e-02	1.17310429e-19	9.15156616e-21	0.00000000e+00	9.15156616e-21	-9.15156616e-21
0.1             	3.16919191e-02	1.58459596e-02	1.58459596e-02	-3.89429357e-01	-1.40722734e-01	-2.48706623e-01	5.39919444e-02	1.17409869e-19	8.86595901e-21	0.00000000e+00	8.86595901e-21	-8.86595901e-21
0.12            	3.12380106e-02	1.56190053e-02	1.56190053e-02	-3.88300649e-01	-1.39754146e-01	-2.48546504e-01	5.43961791e-02	1.17822859e-19	8.75680832e-21	0.00000000e+00	8.75680832e-21	-8.75680832e-21
0.14            	3.14637869e-02	1.57318934e-02	1.57318934e-02	-3.88729098e-01	-1.40008946e-01	-2.48720153e-01	5.43556034e-02	1.18478854e-19	8.79301023e-21	0.00000000e+00	8.79301023e-21	-8.79301023e-21
0.16            	3.17895724e-02	1.58947862e-02	1.58947862e-02	-3.89132066e-01	-1.40528892e-01	-2.48603173e-01	5.40371405e-02	1.19428343e-19	8.83542739e-21	0.00000000e+00	8.83542739e-21	-8.83542739e-21
0.18            	3.20433059e-02	1.60216529e-02	1.60216529e-02	-3.88176243e-01	-1.40712966e-01	-2.47463277e-01	5.33751555e-02	1.19469069e-19	8.90838312e-21	0.00000000e+00	8.90838312e-21	-8.90838312e-21
0.2             	3.25031787e-02	1.62515893e-02	1.62515893e-02	-3.86837027e-01	-1.41046341e-01	-2.45790686e-01	5.23721724e-02	1.19070760e-19	9.08213813e-21	0.00000000e+00	9.08213813e-21	-9.08213813e-21
0.22            	3.30566179e-02	1.65283090e-02	1.65283090e-02	-3.85905240e-01	-1.41629851e-01	-2.44275388e-01	5.13227683e-02	1.18669035e-19	9.27723291e-21	0.00000000e+00	9.27723291e-21	-9.27723291e-21
0.24            	3.36413955e-02	1.68206977e-02	1.68206977e-02	-3.84878542e-01	-1.42286917e-01	-2.42591625e-01	5.01523536e-02	1.18267553e-19	9.47926040e-21	0.00000000e+00	9.47926040e-21	-9.47926040e-21
