# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	p               	5.89126708e-01	(5.85940683e-01 8.00535257e-02 6.64396404e-20)	12	1.58398964e+00	(4.92184277e-01 9.37429685e-02 1.31844649e-19)	12
0.04            	p               	5.12292670e-01	(9.92190493e-01 8.86842054e-03 1.40699149e-18)	3	1.79598474e+00	(4.92184277e-01 9.37429685e-02 1.31844649e-19)	12
0.06            	p               	3.64338956e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.80352957e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.08            	p               	3.11609354e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.88050358e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.1             	p               	3.16188859e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.92876922e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.12            	p               	3.18857397e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94668667e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.14            	p               	3.17771371e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.95058324e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.16            	p               	3.22209155e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94756110e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.18            	p               	3.21807346e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94854689e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.2             	p               	3.13286614e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94626726e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.22            	p               	3.15446752e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94534256e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.24            	p               	3.10915930e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94469591e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.26            	p               	3.15659650e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94729044e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.28            	p               	3.11640908e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94940244e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.3             	p               	3.14589577e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94618529e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.32            	p               	3.17202365e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94504958e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.34            	p               	3.15436683e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94353910e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.36            	p               	3.24979460e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94819252e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.38            	p               	3.19281649e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94807342e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.4             	p               	3.30111298e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94729136e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.42            	p               	3.24653210e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94526143e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.44            	p               	3.32513220e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94248591e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.46            	p               	3.32651539e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94884078e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.48            	p               	3.35456873e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94872261e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.5             	p               	3.41271732e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94646628e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.52            	p               	3.38972178e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94505879e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.54            	p               	3.48779772e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94385388e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.56            	p               	3.45476959e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94775900e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.58            	p               	3.54364282e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94881360e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.6             	p               	3.53532078e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94674389e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.62            	p               	3.57538957e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94530903e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.64            	p               	3.63387392e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94423780e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.66            	p               	3.63707608e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94661686e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.68            	p               	3.73260078e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94858413e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.7             	p               	3.72708599e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94770746e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.72            	p               	3.79412117e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94526170e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.74            	p               	3.82655349e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94517202e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
0.76            	p               	3.85018617e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94509257e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
