# Region type : patch airfoilFront
# Faces         : 32
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	1.54755234e+00
0.04            	1.74681115e+00
0.06            	1.66342166e+00
0.08            	1.61228801e+00
0.1             	1.59365680e+00
0.12            	1.58328854e+00
0.14            	1.58807343e+00
0.16            	1.59437508e+00
0.18            	1.59572795e+00
0.2             	1.59928074e+00
0.22            	1.60546012e+00
0.24            	1.61187140e+00
0.26            	1.61807230e+00
0.28            	1.62490831e+00
0.3             	1.63169109e+00
0.32            	1.63820743e+00
0.34            	1.64443956e+00
0.36            	1.65038855e+00
0.38            	1.65624778e+00
0.4             	1.66192311e+00
0.42            	1.66685783e+00
0.44            	1.67168095e+00
0.46            	1.67611735e+00
0.48            	1.68048997e+00
0.5             	1.68442337e+00
0.52            	1.68789209e+00
0.54            	1.69114694e+00
0.56            	1.69389355e+00
0.58            	1.69656747e+00
0.6             	1.69893831e+00
0.62            	1.70071740e+00
0.64            	1.70226298e+00
0.66            	1.70327260e+00
0.68            	1.70416727e+00
0.7             	1.70508352e+00
0.72            	1.70545570e+00
0.74            	1.70576335e+00
0.76            	1.70574321e+00
0.78            	1.70571208e+00
0.8             	1.70602240e+00
0.82            	1.70606397e+00
0.84            	1.70604755e+00
0.86            	1.70598052e+00
0.88            	1.70575202e+00
0.9             	1.70591791e+00
0.92            	1.70611443e+00
0.94            	1.70602234e+00
0.96            	1.70605139e+00
0.98            	1.70581552e+00
1               	1.70579101e+00
1.02            	1.70610213e+00
1.04            	1.70602261e+00
1.06            	1.70604347e+00
1.08            	1.70588229e+00
1.1             	1.70572707e+00
1.12            	1.70601526e+00
1.14            	1.70606714e+00
1.16            	1.70601711e+00
1.18            	1.70598315e+00
1.2             	1.70574745e+00
1.22            	1.70587893e+00
1.24            	1.70610919e+00
1.26            	1.70600553e+00
1.28            	1.70604510e+00
1.3             	1.70581786e+00
1.32            	1.70576379e+00
1.34            	1.70609045e+00
1.36            	1.70603149e+00
1.38            	1.70604034e+00
1.4             	1.70590758e+00
1.42            	1.70572689e+00
1.44            	1.70598902e+00
1.46            	1.70608100e+00
1.48            	1.70601207e+00
1.5             	1.70600345e+00
1.52            	1.70576164e+00
1.54            	1.70584784e+00
1.56            	1.70611135e+00
1.58            	1.70600744e+00
1.6             	1.70604804e+00
1.62            	1.70583578e+00
1.64            	1.70574742e+00
1.66            	1.70607460e+00
1.68            	1.70604244e+00
1.7             	1.70603448e+00
1.72            	1.70593142e+00
1.74            	1.70572989e+00
1.76            	1.70595718e+00
1.78            	1.70609186e+00
1.8             	1.70600764e+00
1.82            	1.70602035e+00
1.84            	1.70577681e+00
1.86            	1.70581859e+00
1.88            	1.70611019e+00
1.9             	1.70601252e+00
1.92            	1.70604869e+00
1.94            	1.70585614e+00
1.96            	1.70573583e+00
1.98            	1.70605378e+00
2               	1.70605409e+00
2.02            	1.70602771e+00
2.04            	1.70595491e+00
2.06            	1.70573642e+00
2.08            	1.70592386e+00
2.1             	1.70610081e+00
2.12            	1.70600491e+00
2.14            	1.70603299e+00
2.16            	1.70579315e+00
2.18            	1.70579220e+00
2.2             	1.70610480e+00
