# Region type : patch airfoilRear
# Faces         : 32
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	6.21693001e-01
0.04            	5.57766544e-01
0.06            	5.69471551e-01
0.08            	5.77571921e-01
0.1             	5.87147600e-01
0.12            	5.91195099e-01
0.14            	5.88809523e-01
0.16            	5.84764493e-01
0.18            	5.78059006e-01
0.2             	5.67006610e-01
0.22            	5.55609219e-01
0.24            	5.43448439e-01
0.26            	5.31475003e-01
0.28            	5.19513644e-01
0.3             	5.07408253e-01
0.32            	4.96014480e-01
0.34            	4.85577820e-01
0.36            	4.76745532e-01
0.38            	4.70806390e-01
0.4             	4.69353903e-01
0.42            	4.70450752e-01
0.44            	4.72152729e-01
0.46            	4.74550964e-01
0.48            	4.77009827e-01
0.5             	4.79505733e-01
0.52            	4.82248348e-01
0.54            	4.84772520e-01
0.56            	4.87754312e-01
0.58            	4.90518712e-01
0.6             	4.93477819e-01
0.62            	4.96439909e-01
0.64            	4.99347372e-01
0.66            	5.02542772e-01
0.68            	5.05578398e-01
0.7             	5.08782061e-01
0.72            	5.11793136e-01
0.74            	5.14832471e-01
0.76            	5.17943534e-01
0.78            	5.20778067e-01
0.8             	5.23844222e-01
0.82            	5.26382612e-01
0.84            	5.29064883e-01
0.86            	5.31503143e-01
0.88            	5.33806644e-01
0.9             	5.36230664e-01
0.92            	5.38153069e-01
0.94            	5.40334318e-01
0.96            	5.42060519e-01
0.98            	5.43931081e-01
1               	5.45630936e-01
1.02            	5.47102098e-01
1.04            	5.48536216e-01
1.06            	5.49563833e-01
1.08            	5.50847074e-01
1.1             	5.51746798e-01
1.12            	5.52832974e-01
1.14            	5.53323827e-01
1.16            	5.54041016e-01
1.18            	5.54322928e-01
1.2             	5.54637045e-01
1.22            	5.54969544e-01
1.24            	5.54902853e-01
1.26            	5.55170032e-01
1.28            	5.54988142e-01
1.3             	5.55133423e-01
1.32            	5.55068717e-01
1.34            	5.55159296e-01
1.36            	5.55122760e-01
1.38            	5.55093594e-01
1.4             	5.55163950e-01
1.42            	5.55036089e-01
1.44            	5.55253431e-01
1.46            	5.55013614e-01
1.48            	5.55183146e-01
1.5             	5.55063900e-01
1.52            	5.55129555e-01
1.54            	5.55205154e-01
1.56            	5.55131064e-01
1.58            	5.55206857e-01
1.6             	5.55044982e-01
1.62            	5.55181540e-01
1.64            	5.55064974e-01
1.66            	5.55235476e-01
1.68            	5.55059413e-01
1.7             	5.55148424e-01
1.72            	5.55039631e-01
1.74            	5.55080111e-01
1.76            	5.55068346e-01
1.78            	5.55044905e-01
1.8             	5.54943273e-01
1.82            	5.55012576e-01
1.84            	5.54893452e-01
1.86            	5.55114256e-01
1.88            	5.55001504e-01
1.9             	5.55124201e-01
1.92            	5.55041401e-01
1.94            	5.55117441e-01
1.96            	5.55151390e-01
1.98            	5.55154623e-01
2               	5.55212260e-01
2.02            	5.55063310e-01
2.04            	5.55202236e-01
2.06            	5.55057529e-01
2.08            	5.55278214e-01
2.1             	5.55162124e-01
2.12            	5.55187478e-01
2.14            	5.55231241e-01
2.16            	5.55081885e-01
2.18            	5.55310709e-01
2.2             	5.55098793e-01
2.22            	5.55263278e-01
2.24            	5.55097635e-01
2.26            	5.55176282e-01
2.28            	5.55201948e-01
2.3             	5.55194804e-01
2.32            	5.55265709e-01
2.34            	5.55074419e-01
2.36            	5.55241389e-01
2.38            	5.55047405e-01
2.4             	5.55257930e-01
2.42            	5.55136187e-01
2.44            	5.55148679e-01
2.46            	5.55179542e-01
2.48            	5.55057491e-01
2.5             	5.55241514e-01
2.52            	5.55077258e-01
2.54            	5.55201976e-01
2.56            	5.55023544e-01
2.58            	5.55136565e-01
2.6             	5.55071841e-01
2.62            	5.55193965e-01
2.64            	5.55131442e-01
2.66            	5.55111420e-01
2.68            	5.55162641e-01
2.7             	5.55058729e-01
2.72            	5.55251646e-01
2.74            	5.55074883e-01
2.76            	5.55218163e-01
2.78            	5.55065279e-01
2.8             	5.55170900e-01
2.82            	5.55164298e-01
2.84            	5.55220642e-01
2.86            	5.55206876e-01
2.88            	5.55127393e-01
2.9             	5.55229230e-01
2.92            	5.55084911e-01
2.94            	5.55306005e-01
2.96            	5.55096761e-01
2.98            	5.55226816e-01
3               	5.55145185e-01
3.02            	5.55157296e-01
3.04            	5.55270192e-01
3.06            	5.55161204e-01
3.08            	5.55265661e-01
3.1             	5.55081624e-01
3.12            	5.55189079e-01
3.14            	5.55067624e-01
3.16            	5.55202698e-01
3.18            	5.55003757e-01
3.2             	5.55079001e-01
3.22            	5.54920599e-01
3.24            	5.55026118e-01
3.26            	5.54973810e-01
3.28            	5.55083931e-01
3.3             	5.54976292e-01
3.32            	5.55138715e-01
3.34            	5.55008533e-01
3.36            	5.55230506e-01
3.38            	5.55149185e-01
3.4             	5.55167282e-01
3.42            	5.55194185e-01
3.44            	5.55093260e-01
3.46            	5.55284737e-01
3.48            	5.55135203e-01
3.5             	5.55287763e-01
3.52            	5.55107659e-01
3.54            	5.55210136e-01
3.56            	5.55178646e-01
3.58            	5.55218711e-01
3.6             	5.55295609e-01
3.62            	5.55099134e-01
3.64            	5.55296300e-01
3.66            	5.55042719e-01
3.68            	5.55284355e-01
3.7             	5.55181537e-01
3.72            	5.55178991e-01
3.74            	5.55242013e-01
3.76            	5.55048535e-01
3.78            	5.55267351e-01
3.8             	5.55086602e-01
3.82            	5.55220526e-01
3.84            	5.55092767e-01
3.86            	5.55109961e-01
3.88            	5.55144325e-01
3.9             	5.55120928e-01
3.92            	5.55205592e-01
3.94            	5.55118455e-01
3.96            	5.55164732e-01
3.98            	5.55111179e-01
4               	5.55195013e-01
4.02            	5.55141718e-01
4.04            	5.55212927e-01
4.06            	5.55001336e-01
4.08            	5.55127804e-01
4.1             	5.55016567e-01
4.12            	5.55125508e-01
4.14            	5.55186558e-01
4.16            	5.55009495e-01
4.18            	5.55183843e-01
4.2             	5.54938498e-01
4.22            	5.55178247e-01
4.24            	5.55040787e-01
4.26            	5.55097630e-01
4.28            	5.55131104e-01
4.3             	5.54987092e-01
4.32            	5.55220638e-01
4.34            	5.55068669e-01
4.36            	5.55213411e-01
4.38            	5.55141191e-01
4.4             	5.55106358e-01
4.42            	5.55220810e-01
4.44            	5.55077178e-01
4.46            	5.55265529e-01
4.48            	5.55012347e-01
4.5             	5.55213277e-01
4.52            	5.55020974e-01
4.54            	5.55238754e-01
4.56            	5.55101400e-01
4.58            	5.55184177e-01
4.6             	5.55041348e-01
4.62            	5.55108233e-01
4.64            	5.55001058e-01
4.66            	5.55147372e-01
4.68            	5.54942970e-01
4.7             	5.55079647e-01
4.72            	5.54909295e-01
4.74            	5.55075534e-01
4.76            	5.54992943e-01
4.78            	5.55148795e-01
4.8             	5.54979766e-01
4.82            	5.55168487e-01
4.84            	5.55016330e-01
4.86            	5.55234327e-01
4.88            	5.55177018e-01
4.9             	5.55154829e-01
4.92            	5.55214774e-01
4.94            	5.55065841e-01
4.96            	5.55281458e-01
4.98            	5.55122614e-01
5               	5.55260882e-01
5.02            	5.55121549e-01
5.04            	5.55164943e-01
5.06            	5.55176930e-01
5.08            	5.55173829e-01
5.1             	5.55248857e-01
5.12            	5.55099019e-01
5.14            	5.55217412e-01
5.16            	5.55067139e-01
5.18            	5.55256893e-01
5.2             	5.55124216e-01
5.22            	5.55210532e-01
5.24            	5.55057146e-01
5.26            	5.55129682e-01
5.28            	5.55077252e-01
5.3             	5.55121853e-01
5.32            	5.55165859e-01
5.34            	5.55013727e-01
5.36            	5.55186072e-01
5.38            	5.54964289e-01
5.4             	5.55224326e-01
5.42            	5.55056187e-01
5.44            	5.55150171e-01
5.46            	5.55118825e-01
5.48            	5.55041280e-01
5.5             	5.55226655e-01
5.52            	5.55081413e-01
5.54            	5.55229725e-01
5.56            	5.55047568e-01
5.58            	5.55163056e-01
5.6             	5.55113627e-01
5.62            	5.55186977e-01
5.64            	5.55086005e-01
5.66            	5.55037183e-01
5.68            	5.55004237e-01
5.7             	5.54999605e-01
5.72            	5.55127544e-01
5.74            	5.55094061e-01
5.76            	5.55130420e-01
5.78            	5.55077062e-01
5.8             	5.55069565e-01
5.82            	5.55107943e-01
5.84            	5.55096959e-01
5.86            	5.55055955e-01
5.88            	5.55060482e-01
5.9             	5.55150762e-01
5.92            	5.55168533e-01
5.94            	5.55150345e-01
5.96            	5.55314168e-01
5.98            	5.55005821e-01
6               	5.55232240e-01
6.02            	5.54990298e-01
6.04            	5.55205590e-01
6.06            	5.55123811e-01
6.08            	5.55155127e-01
6.1             	5.55163563e-01
6.12            	5.55009379e-01
6.14            	5.55219015e-01
6.16            	5.55059436e-01
6.18            	5.55251784e-01
6.2             	5.55050071e-01
6.22            	5.55177545e-01
6.24            	5.55043186e-01
6.26            	5.55207090e-01
6.28            	5.55010172e-01
6.3             	5.55101502e-01
6.32            	5.54920729e-01
6.34            	5.55063938e-01
6.36            	5.55038163e-01
6.38            	5.55157864e-01
6.4             	5.55152321e-01
6.42            	5.55147796e-01
6.44            	5.55179149e-01
6.46            	5.55040368e-01
6.48            	5.55247690e-01
6.5             	5.55177919e-01
6.52            	5.55149900e-01
6.54            	5.55302035e-01
6.56            	5.54961219e-01
6.58            	5.55238953e-01
6.6             	5.55054198e-01
6.62            	5.55094419e-01
6.64            	5.55053934e-01
6.66            	5.55012016e-01
6.68            	5.55234398e-01
6.7             	5.55136488e-01
6.72            	5.55233082e-01
6.74            	5.55194480e-01
6.76            	5.55086590e-01
6.78            	5.55175917e-01
6.8             	5.55119557e-01
6.82            	5.55143315e-01
6.84            	5.55065865e-01
6.86            	5.55029341e-01
6.88            	5.55003170e-01
6.9             	5.55039374e-01
