# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.02            	1.72444077e-02	8.62220383e-03	8.62220383e-03	-3.68129643e-01	-1.15824419e-01	-2.52305225e-01	6.82404032e-02	1.70294169e-19	7.97714101e-21	0.00000000e+00	7.97714101e-21	-7.97714101e-21
0.04            	2.76069570e-02	1.38034785e-02	1.38034785e-02	-3.88645311e-01	-1.35387853e-01	-2.53257457e-01	5.89348018e-02	1.79784572e-19	1.27707830e-20	0.00000000e+00	1.27707830e-20	-1.27707830e-20
0.06            	3.30280674e-02	1.65140337e-02	1.65140337e-02	-4.04964399e-01	-1.46781873e-01	-2.58182525e-01	5.57003261e-02	1.87333667e-19	1.52785504e-20	0.00000000e+00	1.52785504e-20	-1.52785504e-20
0.08            	3.47890719e-02	1.73945359e-02	1.73945359e-02	-4.10666981e-01	-1.50233292e-01	-2.60433689e-01	5.51001982e-02	1.89971641e-19	1.60931786e-20	0.00000000e+00	1.60931786e-20	-1.60931786e-20
0.1             	3.42283238e-02	1.71141619e-02	1.71141619e-02	-4.05373994e-01	-1.48030846e-01	-2.57343148e-01	5.46561507e-02	1.87523142e-19	1.58337805e-20	0.00000000e+00	1.58337805e-20	-1.58337805e-20
0.12            	3.34064938e-02	1.67032469e-02	1.67032469e-02	-3.97353446e-01	-1.45052585e-01	-2.52300862e-01	5.36241385e-02	1.83812894e-19	1.54536077e-20	0.00000000e+00	1.54536077e-20	-1.54536077e-20
0.14            	3.29716896e-02	1.64858448e-02	1.64858448e-02	-3.91765509e-01	-1.43220563e-01	-2.48544946e-01	5.26621915e-02	1.81227954e-19	1.52524704e-20	0.00000000e+00	1.52524704e-20	-1.52524704e-20
0.16            	3.27663193e-02	1.63831597e-02	1.63831597e-02	-3.89145962e-01	-1.42366603e-01	-2.46779359e-01	5.22063778e-02	1.80016169e-19	1.51574676e-20	0.00000000e+00	1.51574676e-20	-1.51574676e-20
0.18            	3.26986644e-02	1.63493322e-02	1.63493322e-02	-3.87617501e-01	-1.41972983e-01	-2.45644518e-01	5.18357672e-02	1.79309114e-19	1.51261709e-20	0.00000000e+00	1.51261709e-20	-1.51261709e-20
0.2             	3.28610195e-02	1.64305097e-02	1.64305097e-02	-3.86176942e-01	-1.41928995e-01	-2.44247947e-01	5.11594759e-02	1.78642722e-19	1.52012752e-20	0.00000000e+00	1.52012752e-20	-1.52012752e-20
0.22            	3.32460654e-02	1.66230327e-02	1.66230327e-02	-3.84767106e-01	-1.42181877e-01	-2.42585229e-01	5.02016762e-02	1.77990542e-19	1.53793947e-20	0.00000000e+00	1.53793947e-20	-1.53793947e-20
0.24            	3.37471432e-02	1.68735716e-02	1.68735716e-02	-3.83600253e-01	-1.42679153e-01	-2.40921099e-01	4.91209730e-02	1.77450764e-19	1.56111897e-20	0.00000000e+00	1.56111897e-20	-1.56111897e-20
0.26            	3.42661525e-02	1.71330763e-02	1.71330763e-02	-3.82838217e-01	-1.43319267e-01	-2.39518951e-01	4.80998421e-02	1.77098251e-19	1.58512798e-20	0.00000000e+00	1.58512798e-20	-1.58512798e-20
0.28            	3.47908499e-02	1.73954250e-02	1.73954250e-02	-3.82191620e-01	-1.44049926e-01	-2.38141694e-01	4.70458841e-02	1.76799140e-19	1.60940011e-20	0.00000000e+00	1.60940011e-20	-1.60940011e-20
0.3             	3.53335453e-02	1.76667726e-02	1.76667726e-02	-3.81495199e-01	-1.44866756e-01	-2.36628443e-01	4.58808434e-02	1.76476981e-19	1.63450481e-20	0.00000000e+00	1.63450481e-20	-1.63450481e-20
0.32            	3.58839841e-02	1.79419920e-02	1.79419920e-02	-3.80905514e-01	-1.45751803e-01	-2.35153711e-01	4.47009542e-02	1.76204197e-19	1.65996772e-20	0.00000000e+00	1.65996772e-20	-1.65996772e-20
0.34            	3.63925069e-02	1.81962535e-02	1.81962535e-02	-3.80546994e-01	-1.46623508e-01	-2.33923486e-01	4.36499890e-02	1.76038348e-19	1.68349163e-20	0.00000000e+00	1.68349163e-20	-1.68349163e-20
0.36            	3.68188229e-02	1.84094115e-02	1.84094115e-02	-3.80376295e-01	-1.47396214e-01	-2.32980081e-01	4.27919335e-02	1.75959383e-19	1.70321271e-20	0.00000000e+00	1.70321271e-20	-1.70321271e-20
0.38            	3.71431547e-02	1.85715774e-02	1.85715774e-02	-3.80465295e-01	-1.48026067e-01	-2.32439228e-01	4.22065804e-02	1.76000554e-19	1.71821607e-20	0.00000000e+00	1.71821607e-20	-1.71821607e-20
0.4             	3.73786352e-02	1.86893176e-02	1.86893176e-02	-3.80936363e-01	-1.48533298e-01	-2.32403066e-01	4.19348840e-02	1.76218467e-19	1.72910922e-20	0.00000000e+00	1.72910922e-20	-1.72910922e-20
0.42            	3.75548345e-02	1.87774173e-02	1.87774173e-02	-3.81797990e-01	-1.48962481e-01	-2.32835509e-01	4.19365142e-02	1.76617050e-19	1.73726008e-20	0.00000000e+00	1.73726008e-20	-1.73726008e-20
0.44            	3.76881159e-02	1.88440580e-02	1.88440580e-02	-3.82873749e-01	-1.49333618e-01	-2.33540130e-01	4.21032560e-02	1.77114688e-19	1.74342559e-20	0.00000000e+00	1.74342559e-20	-1.74342559e-20
0.46            	3.77740489e-02	1.88870245e-02	1.88870245e-02	-3.84021431e-01	-1.49636516e-01	-2.34384915e-01	4.23741997e-02	1.77645598e-19	1.74740079e-20	0.00000000e+00	1.74740079e-20	-1.74740079e-20
0.48            	3.78189333e-02	1.89094666e-02	1.89094666e-02	-3.85189915e-01	-1.49881146e-01	-2.35308769e-01	4.27138117e-02	1.78186130e-19	1.74947710e-20	0.00000000e+00	1.74947710e-20	-1.74947710e-20
0.5             	3.78534594e-02	1.89267297e-02	1.89267297e-02	-3.86307962e-01	-1.50108059e-01	-2.36199903e-01	4.30459223e-02	1.78703331e-19	1.75107426e-20	0.00000000e+00	1.75107426e-20	-1.75107426e-20
0.52            	3.78879877e-02	1.89439939e-02	1.89439939e-02	-3.87380054e-01	-1.50332977e-01	-2.37047077e-01	4.33570498e-02	1.79199273e-19	1.75267151e-20	0.00000000e+00	1.75267151e-20	-1.75267151e-20
