# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	p               	7.33073664e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.32708101e+00	(4.84362126e-01 9.93385440e-02 -2.76812627e-19)	1
0.04            	p               	5.92266341e-01	(6.71887564e-01 7.21318930e-02 1.26707535e-18)	1	1.58299435e+00	(4.84362126e-01 9.93385440e-02 -2.76812627e-19)	1
0.06            	p               	5.25979154e-01	(9.84386985e-01 1.77185836e-02 1.06559893e-18)	9	1.74482367e+00	(4.84362126e-01 9.93385440e-02 -2.76812627e-19)	1
0.08            	p               	5.13337519e-01	(9.84386985e-01 1.77185836e-02 1.06559893e-18)	9	1.79655474e+00	(4.84362126e-01 9.93385440e-02 -2.76812627e-19)	1
0.1             	p               	4.42516865e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.75198861e+00	(3.59362375e-01 7.75732234e-02 -3.69358592e-19)	1
0.12            	p               	3.67761147e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.80549783e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.14            	p               	3.30121206e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.84599062e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.16            	p               	3.13024156e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.88230731e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.18            	p               	3.11928988e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.91159504e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.2             	p               	3.16184849e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.93035829e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.22            	p               	3.16570605e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94131031e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.24            	p               	3.12718041e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94864779e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.26            	p               	3.11800834e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95257479e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.28            	p               	3.14705246e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95258497e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.3             	p               	3.17172919e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95106484e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.32            	p               	3.17835437e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95024417e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.34            	p               	3.18248019e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95033899e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.36            	p               	3.20914942e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94980567e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.38            	p               	3.23841211e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94840530e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.4             	p               	3.24645346e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94775676e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.42            	p               	3.26757979e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94878596e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.44            	p               	3.30538291e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94976836e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.46            	p               	3.29860972e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94896359e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.48            	p               	3.30415036e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94684334e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.5             	p               	3.35742726e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94546639e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.52            	p               	3.41373512e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94638771e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.54            	p               	3.39692562e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94833851e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.56            	p               	3.39373891e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94972923e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.58            	p               	3.45968864e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95097058e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.6             	p               	3.51286506e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95104165e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.62            	p               	3.52129703e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94946215e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.64            	p               	3.54873455e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94806556e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.66            	p               	3.59482918e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94796792e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.68            	p               	3.63237893e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94820031e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.7             	p               	3.68004831e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94701397e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.72            	p               	3.73454581e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94515338e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.74            	p               	3.73192633e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94637397e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.76            	p               	3.74480851e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94933709e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.78            	p               	3.81383167e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95051069e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.8             	p               	3.88800337e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95116248e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.82            	p               	3.85882805e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95080330e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.84            	p               	3.85743053e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94889021e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.86            	p               	3.91574088e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94741605e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.88            	p               	3.95682232e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94759789e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.9             	p               	3.93573856e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94870598e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.92            	p               	3.94225482e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94861535e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.94            	p               	3.97741397e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94645496e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.96            	p               	3.97294397e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94551285e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
0.98            	p               	3.95717505e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94767135e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1               	p               	3.97607159e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94958937e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.02            	p               	3.97861625e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95019796e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.04            	p               	3.95212684e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95079246e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.06            	p               	3.96345476e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95016064e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.08            	p               	3.99841503e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94855806e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.1             	p               	3.97559176e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94777409e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.12            	p               	3.94998164e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94833549e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.14            	p               	3.97733342e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94924923e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.16            	p               	4.00214929e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94929109e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.18            	p               	3.96456758e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94761425e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.2             	p               	3.94856843e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94518606e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.22            	p               	3.97644499e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94562763e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.24            	p               	3.99040239e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94869243e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.26            	p               	3.95663068e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95004282e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.28            	p               	3.94238542e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95028015e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.3             	p               	3.96103185e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95076835e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.32            	p               	3.98861887e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94978781e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.34            	p               	3.98309691e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94809391e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.36            	p               	3.95789378e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94758279e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.38            	p               	3.95749292e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94848371e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.4             	p               	3.99180099e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94935909e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.42            	p               	4.00057645e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94861768e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.44            	p               	3.95809843e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94612136e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.46            	p               	3.95281571e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94502912e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.48            	p               	3.99283417e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94746074e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.5             	p               	3.99038395e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94982245e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.52            	p               	3.94266950e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95040551e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.54            	p               	3.95372410e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95087327e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.56            	p               	3.99968658e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95019763e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.58            	p               	3.97548454e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94846419e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.6             	p               	3.94396169e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94752219e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.62            	p               	3.98002093e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94812904e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.64            	p               	4.00955954e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94925631e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.66            	p               	3.96162505e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94919373e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.68            	p               	3.94863268e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94707011e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.7             	p               	3.99960704e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94491621e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.72            	p               	3.99035724e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.94625847e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.74            	p               	3.94898956e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94928053e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.76            	p               	3.94375112e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95030560e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.78            	p               	3.99854747e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.95068718e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.8             	p               	3.98046023e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.95059833e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.82            	p               	3.95043508e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94911418e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.84            	p               	3.94741604e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94773518e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.86            	p               	3.99935442e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94780522e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.88            	p               	3.99133219e-01	(6.09387686e-01 8.30145538e-02 2.29492899e-19)	1	1.94888189e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.9             	p               	3.96008852e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94936895e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.92            	p               	3.94766145e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94794070e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.94            	p               	3.98513291e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94536571e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
1.96            	p               	4.01213329e-01	(6.40637625e-01 7.75732234e-02 -3.27702793e-19)	1	1.94537514e+00	(1.09362847e-01 3.40425774e-02 -1.46732709e-12)	0
