# Region type : patch airfoilFront
# Faces         : 16
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	1.30459708e+00
0.04            	1.52659395e+00
0.06            	1.65837240e+00
0.08            	1.70230365e+00
0.1             	1.67857884e+00
0.12            	1.64307099e+00
0.14            	1.62052025e+00
0.16            	1.60992432e+00
0.18            	1.60457030e+00
0.2             	1.60311487e+00
0.22            	1.60528170e+00
0.24            	1.60997142e+00
0.26            	1.61607937e+00
0.28            	1.62260088e+00
0.3             	1.62926868e+00
0.32            	1.63635830e+00
0.34            	1.64342958e+00
0.36            	1.64972134e+00
0.38            	1.65512080e+00
0.4             	1.66017912e+00
0.42            	1.66538965e+00
0.44            	1.67051823e+00
0.46            	1.67509632e+00
0.48            	1.67908082e+00
0.5             	1.68275961e+00
0.52            	1.68630976e+00
0.54            	1.68949398e+00
0.56            	1.69219435e+00
0.58            	1.69464755e+00
0.6             	1.69697422e+00
0.62            	1.69881216e+00
0.64            	1.69996591e+00
0.66            	1.70081126e+00
0.68            	1.70182245e+00
0.7             	1.70261665e+00
0.72            	1.70280654e+00
0.74            	1.70291044e+00
0.76            	1.70327758e+00
0.78            	1.70372606e+00
0.8             	1.70412524e+00
0.82            	1.70441342e+00
0.84            	1.70436648e+00
0.86            	1.70402342e+00
0.88            	1.70382394e+00
0.9             	1.70405900e+00
0.92            	1.70432333e+00
0.94            	1.70408817e+00
0.96            	1.70369462e+00
0.98            	1.70366789e+00
1               	1.70389668e+00
1.02            	1.70408183e+00
1.04            	1.70421215e+00
1.06            	1.70427750e+00
1.08            	1.70410805e+00
1.1             	1.70385021e+00
1.12            	1.70382794e+00
1.14            	1.70409048e+00
1.16            	1.70431589e+00
1.18            	1.70418805e+00
1.2             	1.70381338e+00
1.22            	1.70364017e+00
1.24            	1.70374960e+00
1.26            	1.70390007e+00
1.28            	1.70401845e+00
1.3             	1.70422864e+00
1.32            	1.70433294e+00
1.34            	1.70415511e+00
1.36            	1.70390994e+00
1.38            	1.70394875e+00
1.4             	1.70423454e+00
1.42            	1.70434310e+00
1.44            	1.70400174e+00
1.46            	1.70366857e+00
1.48            	1.70368337e+00
1.5             	1.70385822e+00
1.52            	1.70399027e+00
1.54            	1.70417445e+00
1.56            	1.70431243e+00
1.58            	1.70418904e+00
1.6             	1.70392689e+00
1.62            	1.70387913e+00
1.64            	1.70413707e+00
1.66            	1.70435166e+00
1.68            	1.70412917e+00
1.7             	1.70372547e+00
1.72            	1.70363702e+00
1.74            	1.70381081e+00
1.76            	1.70396023e+00
1.78            	1.70410844e+00
1.8             	1.70429594e+00
1.82            	1.70428041e+00
1.84            	1.70403505e+00
1.86            	1.70387612e+00
1.88            	1.70403906e+00
1.9             	1.70430933e+00
1.92            	1.70425341e+00
1.94            	1.70384966e+00
1.96            	1.70364002e+00
1.98            	1.70375472e+00
2               	1.70392203e+00
2.02            	1.70403925e+00
2.04            	1.70423394e+00
2.06            	1.70432376e+00
2.08            	1.70414234e+00
2.1             	1.70390161e+00
2.12            	1.70394194e+00
2.14            	1.70421990e+00
2.16            	1.70433096e+00
2.18            	1.70400320e+00
2.2             	1.70366962e+00
2.22            	1.70367968e+00
2.24            	1.70386287e+00
2.26            	1.70399326e+00
2.28            	1.70416725e+00
2.3             	1.70431961e+00
2.32            	1.70421997e+00
2.34            	1.70395774e+00
2.36            	1.70388500e+00
2.38            	1.70412072e+00
2.4             	1.70434407e+00
2.42            	1.70415236e+00
2.44            	1.70374953e+00
2.46            	1.70364015e+00
2.48            	1.70380347e+00
2.5             	1.70395346e+00
2.52            	1.70409361e+00
2.54            	1.70428594e+00
2.56            	1.70429174e+00
2.58            	1.70405435e+00
2.6             	1.70387540e+00
2.62            	1.70401677e+00
2.64            	1.70429333e+00
2.66            	1.70427276e+00
2.68            	1.70387627e+00
2.7             	1.70363937e+00
2.72            	1.70373572e+00
2.74            	1.70390958e+00
2.76            	1.70403231e+00
2.78            	1.70422490e+00
2.8             	1.70432258e+00
2.82            	1.70415024e+00
2.84            	1.70390418e+00
2.86            	1.70392874e+00
2.88            	1.70420601e+00
2.9             	1.70433804e+00
2.92            	1.70402482e+00
2.94            	1.70367483e+00
2.96            	1.70366844e+00
2.98            	1.70385291e+00
3               	1.70398967e+00
3.02            	1.70416203e+00
3.04            	1.70431789e+00
3.06            	1.70422638e+00
3.08            	1.70396506e+00
3.1             	1.70388184e+00
3.12            	1.70411073e+00
3.14            	1.70434294e+00
3.16            	1.70416684e+00
3.18            	1.70375996e+00
3.2             	1.70363872e+00
3.22            	1.70379774e+00
3.24            	1.70394912e+00
3.26            	1.70408589e+00
3.28            	1.70428007e+00
3.3             	1.70429573e+00
3.32            	1.70406251e+00
3.34            	1.70387411e+00
3.36            	1.70400556e+00
3.38            	1.70428584e+00
3.4             	1.70428155e+00
3.42            	1.70388726e+00
3.44            	1.70363708e+00
3.46            	1.70372496e+00
3.48            	1.70390271e+00
3.5             	1.70403215e+00
3.52            	1.70422465e+00
3.54            	1.70431968e+00
3.56            	1.70414653e+00
3.58            	1.70390061e+00
3.6             	1.70392429e+00
3.62            	1.70420343e+00
3.64            	1.70434096e+00
3.66            	1.70402953e+00
3.68            	1.70367514e+00
3.7             	1.70366554e+00
3.72            	1.70385180e+00
3.74            	1.70398936e+00
3.76            	1.70415950e+00
3.78            	1.70431765e+00
3.8             	1.70423104e+00
3.82            	1.70397037e+00
3.84            	1.70388214e+00
3.86            	1.70410654e+00
3.88            	1.70434098e+00
3.9             	1.70417317e+00
3.92            	1.70376688e+00
3.94            	1.70363904e+00
