# Region type : patch airfoilRear
# Faces         : 16
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	7.56928924e-01
0.04            	6.49819784e-01
0.06            	6.09428235e-01
0.08            	5.97431440e-01
0.1             	5.91515525e-01
0.12            	5.82108314e-01
0.14            	5.73366600e-01
0.16            	5.69293062e-01
0.18            	5.66087706e-01
0.2             	5.59476009e-01
0.22            	5.49414097e-01
0.24            	5.38190000e-01
0.26            	5.27814646e-01
0.28            	5.17672196e-01
0.3             	5.07104438e-01
0.32            	4.96712579e-01
0.34            	4.87633591e-01
0.36            	4.80385910e-01
0.38            	4.75484856e-01
0.4             	4.73064515e-01
0.42            	4.72679097e-01
0.44            	4.73574767e-01
0.46            	4.75423696e-01
0.48            	4.77982707e-01
0.5             	4.80564978e-01
0.52            	4.83018541e-01
0.54            	4.85784356e-01
0.56            	4.88792697e-01
0.58            	4.91675865e-01
0.6             	4.94643328e-01
0.62            	4.97955830e-01
0.64            	5.01187777e-01
0.66            	5.04354273e-01
0.68            	5.07693975e-01
0.7             	5.10923653e-01
0.72            	5.13751527e-01
0.74            	5.16763674e-01
0.76            	5.19886924e-01
0.78            	5.22494315e-01
0.8             	5.24865123e-01
0.82            	5.27688372e-01
0.84            	5.30593741e-01
0.86            	5.32998328e-01
0.88            	5.35372854e-01
0.9             	5.37917746e-01
0.92            	5.40178969e-01
0.94            	5.42197422e-01
0.96            	5.44431265e-01
0.98            	5.46302846e-01
1               	5.47539407e-01
1.02            	5.49078565e-01
1.04            	5.50855220e-01
1.06            	5.51976459e-01
1.08            	5.52806232e-01
1.1             	5.53939078e-01
1.12            	5.54954463e-01
1.14            	5.55403309e-01
1.16            	5.55903059e-01
1.18            	5.56582613e-01
1.2             	5.56971238e-01
1.22            	5.57008838e-01
1.24            	5.57004900e-01
1.26            	5.57109996e-01
1.28            	5.57244799e-01
1.3             	5.57427454e-01
1.32            	5.57373338e-01
1.34            	5.57313281e-01
1.36            	5.57552211e-01
1.38            	5.57821817e-01
1.4             	5.57583497e-01
1.42            	5.57384561e-01
1.44            	5.57635114e-01
1.46            	5.57755711e-01
1.48            	5.57406330e-01
1.5             	5.57223835e-01
1.52            	5.57390578e-01
1.54            	5.57315478e-01
1.56            	5.57147549e-01
1.58            	5.57397567e-01
1.6             	5.57666826e-01
1.62            	5.57407039e-01
1.64            	5.57279035e-01
1.66            	5.57611993e-01
1.68            	5.57814898e-01
1.7             	5.57442609e-01
1.72            	5.57236225e-01
1.74            	5.57342343e-01
1.76            	5.57401066e-01
1.78            	5.57129732e-01
1.8             	5.57041569e-01
1.82            	5.57289754e-01
1.84            	5.57548871e-01
1.86            	5.57396622e-01
1.88            	5.57238226e-01
1.9             	5.57424237e-01
1.92            	5.57659843e-01
1.94            	5.57546904e-01
1.96            	5.57283766e-01
1.98            	5.57237321e-01
2               	5.57297961e-01
2.02            	5.57392251e-01
2.04            	5.57261948e-01
2.06            	5.57157693e-01
2.08            	5.57402480e-01
2.1             	5.57752115e-01
2.12            	5.57546119e-01
2.14            	5.57304315e-01
2.16            	5.57565162e-01
2.18            	5.57837913e-01
2.2             	5.57545383e-01
2.22            	5.57256227e-01
2.24            	5.57350253e-01
2.26            	5.57345942e-01
2.28            	5.57091418e-01
2.3             	5.57186665e-01
2.32            	5.57517591e-01
2.34            	5.57432150e-01
2.36            	5.57197860e-01
2.38            	5.57459465e-01
2.4             	5.57722567e-01
2.42            	5.57449229e-01
2.44            	5.57324635e-01
2.46            	5.57584264e-01
2.48            	5.57451440e-01
2.5             	5.56986625e-01
2.52            	5.57098786e-01
2.54            	5.57459189e-01
2.56            	5.57309443e-01
2.58            	5.57067602e-01
2.6             	5.57337766e-01
2.62            	5.57643165e-01
2.64            	5.57469696e-01
2.66            	5.57246241e-01
2.68            	5.57445710e-01
2.7             	5.57632269e-01
2.72            	5.57465365e-01
2.74            	5.57060573e-01
2.76            	5.57109163e-01
2.78            	5.57350927e-01
2.8             	5.57523648e-01
2.82            	5.57297464e-01
2.84            	5.57282557e-01
2.86            	5.57535123e-01
2.88            	5.57806652e-01
2.9             	5.57672836e-01
2.92            	5.57419285e-01
2.94            	5.57499606e-01
2.96            	5.57711123e-01
2.98            	5.57646029e-01
3               	5.57154935e-01
3.02            	5.57079413e-01
3.04            	5.57404325e-01
3.06            	5.57781087e-01
3.08            	5.57566502e-01
3.1             	5.57254985e-01
3.12            	5.57442414e-01
3.14            	5.57874398e-01
3.16            	5.57970859e-01
3.18            	5.57472360e-01
3.2             	5.57308295e-01
3.22            	5.57508364e-01
3.24            	5.57736145e-01
3.26            	5.57392616e-01
3.28            	5.57062026e-01
3.3             	5.57294915e-01
3.32            	5.57771303e-01
3.34            	5.57859838e-01
3.36            	5.57373569e-01
3.38            	5.57342437e-01
3.4             	5.57736575e-01
3.42            	5.58080336e-01
3.44            	5.57702475e-01
3.46            	5.57191639e-01
3.48            	5.57250253e-01
3.5             	5.57595268e-01
3.52            	5.57711969e-01
3.54            	5.57258339e-01
3.56            	5.57198772e-01
3.58            	5.57566715e-01
3.6             	5.57943211e-01
3.62            	5.57786542e-01
3.64            	5.57375208e-01
3.66            	5.57500217e-01
3.68            	5.57799618e-01
3.7             	5.57932898e-01
3.72            	5.57402215e-01
3.74            	5.57029295e-01
3.76            	5.57249508e-01
3.78            	5.57656315e-01
3.8             	5.57785319e-01
3.82            	5.57345588e-01
3.84            	5.57278325e-01
3.86            	5.57636024e-01
3.88            	5.58022463e-01
3.9             	5.57909895e-01
3.92            	5.57375457e-01
3.94            	5.57351458e-01
3.96            	5.57600426e-01
3.98            	5.57778956e-01
4               	5.57413130e-01
4.02            	5.57012759e-01
4.04            	5.57277764e-01
4.06            	5.57748438e-01
4.08            	5.57940701e-01
4.1             	5.57511353e-01
4.12            	5.57255730e-01
4.14            	5.57632478e-01
4.16            	5.58012803e-01
4.18            	5.57931621e-01
4.2             	5.57338736e-01
4.22            	5.57045684e-01
4.24            	5.57359750e-01
4.26            	5.57698601e-01
4.28            	5.57654361e-01
4.3             	5.57276214e-01
4.32            	5.57229340e-01
4.34            	5.57635295e-01
4.36            	5.57965481e-01
4.38            	5.57874397e-01
4.4             	5.57469274e-01
4.42            	5.57341844e-01
4.44            	5.57630467e-01
4.46            	5.57791423e-01
4.48            	5.57545193e-01
4.5             	5.57090693e-01
4.52            	5.57067060e-01
4.54            	5.57564769e-01
4.56            	5.57920933e-01
4.58            	5.57744620e-01
4.6             	5.57295348e-01
4.62            	5.57357421e-01
4.64            	5.57854362e-01
4.66            	5.58052755e-01
4.68            	5.57706656e-01
4.7             	5.57147885e-01
4.72            	5.57120245e-01
4.74            	5.57509682e-01
4.76            	5.57717402e-01
4.78            	5.57510155e-01
4.8             	5.57179594e-01
4.82            	5.57349062e-01
4.84            	5.57773807e-01
4.86            	5.57973394e-01
4.88            	5.57720210e-01
4.9             	5.57350216e-01
4.92            	5.57429313e-01
4.94            	5.57723755e-01
4.96            	5.57742184e-01
4.98            	5.57341281e-01
5               	5.56994249e-01
5.02            	5.57224917e-01
5.04            	5.57742173e-01
5.06            	5.57890960e-01
5.08            	5.57528973e-01
5.1             	5.57240920e-01
5.12            	5.57530074e-01
5.14            	5.57988070e-01
5.16            	5.57953308e-01
5.18            	5.57468189e-01
5.2             	5.57054948e-01
5.22            	5.57214272e-01
5.24            	5.57614837e-01
5.26            	5.57682802e-01
5.28            	5.57408483e-01
5.3             	5.57182911e-01
5.32            	5.57425513e-01
5.34            	5.57847696e-01
5.36            	5.57955520e-01
5.38            	5.57662555e-01
5.4             	5.57314425e-01
5.42            	5.57439690e-01
5.44            	5.57729789e-01
5.46            	5.57706054e-01
5.48            	5.57300699e-01
5.5             	5.56984833e-01
5.52            	5.57285624e-01
5.54            	5.57791486e-01
5.56            	5.57906949e-01
5.58            	5.57500576e-01
5.6             	5.57241719e-01
5.62            	5.57611228e-01
5.64            	5.58011450e-01
5.66            	5.57935480e-01
5.68            	5.57367451e-01
5.7             	5.57031005e-01
5.72            	5.57316300e-01
5.74            	5.57667382e-01
5.76            	5.57699623e-01
5.78            	5.57317226e-01
5.8             	5.57220722e-01
5.82            	5.57598237e-01
5.84            	5.57952108e-01
5.86            	5.57921347e-01
5.88            	5.57464841e-01
5.9             	5.57331951e-01
5.92            	5.57610695e-01
5.94            	5.57801257e-01
5.96            	5.57574037e-01
5.98            	5.57068005e-01
6               	5.57083823e-01
6.02            	5.57569393e-01
6.04            	5.57930490e-01
6.06            	5.57715881e-01
6.08            	5.57256374e-01
6.1             	5.57405888e-01
6.12            	5.57895104e-01
6.14            	5.58066850e-01
6.16            	5.57644689e-01
6.18            	5.57111797e-01
6.2             	5.57196773e-01
6.22            	5.57577771e-01
6.24            	5.57730537e-01
6.26            	5.57427422e-01
6.28            	5.57154354e-01
6.3             	5.57438269e-01
6.32            	5.57845606e-01
6.34            	5.57960730e-01
6.36            	5.57616655e-01
6.38            	5.57335401e-01
6.4             	5.57530060e-01
6.42            	5.57788127e-01
6.44            	5.57706123e-01
6.46            	5.57234152e-01
6.48            	5.56989157e-01
6.5             	5.57340768e-01
6.52            	5.57812732e-01
6.54            	5.57865893e-01
6.56            	5.57418905e-01
6.58            	5.57241262e-01
6.6             	5.57668425e-01
6.62            	5.58067031e-01
6.64            	5.57916979e-01
6.66            	5.57338063e-01
6.68            	5.57085595e-01
6.7             	5.57400740e-01
6.72            	5.57698399e-01
6.74            	5.57604240e-01
6.76            	5.57214516e-01
6.78            	5.57216323e-01
6.8             	5.57646162e-01
6.82            	5.57949479e-01
6.84            	5.57839375e-01
6.86            	5.57432626e-01
6.88            	5.57388832e-01
6.9             	5.57694337e-01
6.92            	5.57838040e-01
6.94            	5.57552774e-01
6.96            	5.57058507e-01
6.98            	5.57094552e-01
7               	5.57572632e-01
7.02            	5.57921396e-01
7.04            	5.57710433e-01
7.06            	5.57251492e-01
7.08            	5.57408201e-01
7.1             	5.57904448e-01
7.12            	5.58106829e-01
7.14            	5.57679079e-01
7.16            	5.57143301e-01
7.18            	5.57236200e-01
7.2             	5.57596828e-01
7.22            	5.57741397e-01
7.24            	5.57391387e-01
7.26            	5.57127615e-01
7.28            	5.57457925e-01
7.3             	5.57853655e-01
7.32            	5.57950679e-01
7.34            	5.57555470e-01
7.36            	5.57349785e-01
7.38            	5.57614221e-01
7.4             	5.57859559e-01
7.42            	5.57746749e-01
7.44            	5.57181144e-01
7.46            	5.57009130e-01
7.48            	5.57387738e-01
7.5             	5.57808462e-01
7.52            	5.57802333e-01
7.54            	5.57322144e-01
7.56            	5.57290551e-01
