# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.02            	3.23729957e-02	1.61864978e-02	1.61864978e-02	-3.92231790e-01	-1.42510057e-01	-2.49721733e-01	5.36058381e-02	-1.45347176e-19	-1.18893220e-20	0.00000000e+00	-1.18893220e-20	1.18893220e-20
0.04            	3.14952414e-02	1.57476207e-02	1.57476207e-02	-3.92941161e-01	-1.41188282e-01	-2.51752879e-01	5.52822988e-02	-1.44614042e-19	-1.15307465e-20	0.00000000e+00	-1.15307465e-20	1.15307465e-20
0.06            	3.14848122e-02	1.57424061e-02	1.57424061e-02	-3.91477698e-01	-1.40782667e-01	-2.50695032e-01	5.49561826e-02	-1.43799189e-19	-1.14589840e-20	0.00000000e+00	-1.14589840e-20	1.14589840e-20
0.08            	3.15524369e-02	1.57762185e-02	1.57762185e-02	-3.90773110e-01	-1.40614389e-01	-2.50158722e-01	5.47721666e-02	-1.43518221e-19	-1.14818948e-20	0.00000000e+00	-1.14818948e-20	1.14818948e-20
0.1             	3.16432160e-02	1.58216080e-02	1.58216080e-02	-3.90244927e-01	-1.40543543e-01	-2.49701384e-01	5.45789206e-02	-1.42973500e-19	-1.15969688e-20	0.00000000e+00	-1.15969688e-20	1.15969688e-20
0.12            	3.17201879e-02	1.58600939e-02	1.58600939e-02	-3.89664969e-01	-1.40460107e-01	-2.49204863e-01	5.43723779e-02	-1.42750711e-19	-1.16381938e-20	0.00000000e+00	-1.16381938e-20	1.16381938e-20
0.14            	3.17991609e-02	1.58995804e-02	1.58995804e-02	-3.89082365e-01	-1.40406687e-01	-2.48675678e-01	5.41344959e-02	-1.42466773e-19	-1.16507580e-20	0.00000000e+00	-1.16507580e-20	1.16507580e-20
0.16            	3.18692618e-02	1.59346309e-02	1.59346309e-02	-3.88455171e-01	-1.40340304e-01	-2.48114867e-01	5.38872812e-02	-1.42093889e-19	-1.16648529e-20	0.00000000e+00	-1.16648529e-20	1.16648529e-20
0.18            	3.20550194e-02	1.60275097e-02	1.60275097e-02	-3.87826604e-01	-1.40414146e-01	-2.47412458e-01	5.34991558e-02	-1.41320044e-19	-1.18052999e-20	0.00000000e+00	-1.18052999e-20	1.18052999e-20
0.2             	3.25284337e-02	1.62642168e-02	1.62642168e-02	-3.86774982e-01	-1.40859360e-01	-2.45915621e-01	5.25281305e-02	-1.40769705e-19	-1.20009540e-20	0.00000000e+00	-1.20009540e-20	1.20009540e-20
0.22            	3.30960115e-02	1.65480058e-02	1.65480058e-02	-3.85646986e-01	-1.41449676e-01	-2.44197310e-01	5.13738171e-02	-1.40253882e-19	-1.22287093e-20	0.00000000e+00	-1.22287093e-20	1.22287093e-20
0.24            	3.36992863e-02	1.68496431e-02	1.68496431e-02	-3.84559940e-01	-1.42135630e-01	-2.42424310e-01	5.01443400e-02	-1.39816538e-19	-1.24643763e-20	0.00000000e+00	-1.24643763e-20	1.24643763e-20
0.26            	3.43103786e-02	1.71551893e-02	1.71551893e-02	-3.83519584e-01	-1.42881354e-01	-2.40638229e-01	4.88784376e-02	-1.39406836e-19	-1.27046020e-20	0.00000000e+00	-1.27046020e-20	1.27046020e-20
0.28            	3.49154473e-02	1.74577236e-02	1.74577236e-02	-3.82493649e-01	-1.43663109e-01	-2.38830539e-01	4.75837150e-02	-1.39077674e-19	-1.29333616e-20	0.00000000e+00	-1.29333616e-20	1.29333616e-20
0.3             	3.54998580e-02	1.77499290e-02	1.77499290e-02	-3.81545823e-01	-1.44484331e-01	-2.37061492e-01	4.62885802e-02	-1.38815693e-19	-1.31541120e-20	0.00000000e+00	-1.31541120e-20	1.31541120e-20
0.32            	3.60686487e-02	1.80343244e-02	1.80343244e-02	-3.80663152e-01	-1.45348363e-01	-2.35314789e-01	4.49832134e-02	-1.38538816e-19	-1.33761567e-20	0.00000000e+00	-1.33761567e-20	1.33761567e-20
0.34            	3.66013540e-02	1.83006770e-02	1.83006770e-02	-3.79920101e-01	-1.46223241e-01	-2.33696860e-01	4.37368096e-02	-1.38329437e-19	-1.35793827e-20	0.00000000e+00	-1.35793827e-20	1.35793827e-20
0.36            	3.70693885e-02	1.85346943e-02	1.85346943e-02	-3.79441248e-01	-1.47050289e-01	-2.32390959e-01	4.26703349e-02	-1.38875335e-19	-1.36433354e-20	0.00000000e+00	-1.36433354e-20	1.36433354e-20
0.38            	3.74846100e-02	1.87423050e-02	1.87423050e-02	-3.79174962e-01	-1.47847071e-01	-2.31327891e-01	4.17404098e-02	-1.39559844e-19	-1.36763869e-20	0.00000000e+00	-1.36763869e-20	1.36763869e-20
0.4             	3.76632607e-02	1.88316304e-02	1.88316304e-02	-3.80111803e-01	-1.48322864e-01	-2.31788939e-01	4.17330372e-02	-1.40127761e-19	-1.37227889e-20	0.00000000e+00	-1.37227889e-20	1.37227889e-20
