# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	p               	3.08973287e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.87960453e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.04            	p               	3.21702558e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94590726e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.06            	p               	3.12396899e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94255768e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.08            	p               	3.12127583e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94250812e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.1             	p               	3.23708942e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94352555e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.12            	p               	3.14762437e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94395648e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.14            	p               	3.10060219e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94716630e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.16            	p               	3.22241527e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94782680e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.18            	p               	3.16669673e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94670356e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.2             	p               	3.02707847e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94201606e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.22            	p               	3.02703017e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94303862e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.24            	p               	3.13760563e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94335344e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.26            	p               	3.15783924e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94620616e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.28            	p               	3.07086647e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94808114e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.3             	p               	3.10340086e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94678263e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.32            	p               	3.20662587e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94269502e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.34            	p               	3.29257136e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94284431e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.36            	p               	3.29698993e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94310292e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
0.38            	p               	3.27061550e-01	(5.17578326e-01 8.68060540e-02 1.37712116e-20)	12	1.94493530e+00	(1.36716878e-02 4.28192099e-03 1.12356040e-19)	13
