# Region type : patch airfoilFront
# Faces         : 128
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	1.61231883e+00
0.04            	1.60036669e+00
0.06            	1.59610338e+00
0.08            	1.59520439e+00
0.1             	1.59516701e+00
0.12            	1.59476541e+00
0.14            	1.59438817e+00
0.16            	1.59374521e+00
0.18            	1.59493497e+00
0.2             	1.59950805e+00
0.22            	1.60536257e+00
0.24            	1.61189859e+00
0.26            	1.61868949e+00
0.28            	1.62542511e+00
0.3             	1.63205140e+00
0.32            	1.63861208e+00
0.34            	1.64499068e+00
0.36            	1.65108209e+00
0.38            	1.65693003e+00
0.4             	1.66239009e+00
0.42            	1.66745434e+00
0.44            	1.67228664e+00
0.46            	1.67684379e+00
0.48            	1.68106031e+00
0.5             	1.68498232e+00
0.52            	1.68853253e+00
0.54            	1.69163592e+00
0.56            	1.69445713e+00
0.58            	1.69706650e+00
0.6             	1.69934992e+00
0.62            	1.70132666e+00
0.64            	1.70301677e+00
0.66            	1.70430070e+00
0.68            	1.70523788e+00
0.7             	1.70592705e+00
0.72            	1.70631704e+00
0.74            	1.70645678e+00
0.76            	1.70654523e+00
0.78            	1.70652937e+00
0.8             	1.70642524e+00
0.82            	1.70640252e+00
0.84            	1.70645831e+00
0.86            	1.70647998e+00
0.88            	1.70653115e+00
0.9             	1.70655306e+00
0.92            	1.70645965e+00
0.94            	1.70639608e+00
0.96            	1.70643894e+00
0.98            	1.70647482e+00
1               	1.70650745e+00
1.02            	1.70655919e+00
1.04            	1.70649879e+00
1.06            	1.70640431e+00
1.08            	1.70641727e+00
1.1             	1.70646884e+00
1.12            	1.70648882e+00
1.14            	1.70654909e+00
1.16            	1.70653340e+00
1.18            	1.70642815e+00
1.2             	1.70640130e+00
1.22            	1.70645645e+00
1.24            	1.70647881e+00
1.26            	1.70652818e+00
1.28            	1.70655490e+00
1.3             	1.70646399e+00
1.32            	1.70639661e+00
1.34            	1.70643634e+00
1.36            	1.70647399e+00
1.38            	1.70650486e+00
1.4             	1.70655885e+00
1.42            	1.70650320e+00
1.44            	1.70640681e+00
1.46            	1.70641495e+00
