# Region type : patch airfoilRear
# Faces         : 128
# Area          : 5.07713308e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.02            	5.84179200e-01
0.04            	6.00103814e-01
0.06            	5.96171729e-01
0.08            	5.93125030e-01
0.1             	5.90204583e-01
0.12            	5.87358420e-01
0.14            	5.84473069e-01
0.16            	5.81603753e-01
0.18            	5.76894009e-01
0.2             	5.66431844e-01
0.22            	5.54260555e-01
0.24            	5.41637073e-01
0.26            	5.29020180e-01
0.28            	5.16539322e-01
0.3             	5.04605207e-01
0.32            	4.93101566e-01
0.34            	4.82561884e-01
0.36            	4.73788902e-01
0.38            	4.66449755e-01
0.4             	4.66236009e-01
0.42            	4.67913779e-01
0.44            	4.69909198e-01
0.46            	4.72108641e-01
0.48            	4.74459282e-01
0.5             	4.76951724e-01
0.52            	4.79601192e-01
0.54            	4.82263224e-01
0.56            	4.85025951e-01
0.58            	4.87861814e-01
0.6             	4.90734375e-01
0.62            	4.93647466e-01
0.64            	4.96530841e-01
0.66            	4.99375249e-01
0.68            	5.02356129e-01
0.7             	5.05406322e-01
0.72            	5.08540384e-01
0.74            	5.11739613e-01
0.76            	5.14888060e-01
0.78            	5.17888781e-01
0.8             	5.20753768e-01
0.82            	5.23514253e-01
0.84            	5.26167509e-01
0.86            	5.28655247e-01
0.88            	5.30989830e-01
0.9             	5.33248126e-01
0.92            	5.35367185e-01
0.94            	5.37341920e-01
0.96            	5.39179149e-01
0.98            	5.40955010e-01
1               	5.42577195e-01
1.02            	5.44047459e-01
1.04            	5.45411109e-01
1.06            	5.46691415e-01
1.08            	5.47821237e-01
1.1             	5.48803624e-01
1.12            	5.49695054e-01
1.14            	5.50469927e-01
1.16            	5.51078161e-01
1.18            	5.51501240e-01
1.2             	5.51818689e-01
1.22            	5.51982062e-01
1.24            	5.52033757e-01
1.26            	5.52022215e-01
1.28            	5.52083029e-01
1.3             	5.52110549e-01
1.32            	5.52072002e-01
1.34            	5.52091800e-01
1.36            	5.52120618e-01
1.38            	5.52094418e-01
1.4             	5.52074330e-01
1.42            	5.52103364e-01
1.44            	5.52108444e-01
1.46            	5.52094664e-01
1.48            	5.52080714e-01
1.5             	5.52116369e-01
1.52            	5.52109311e-01
1.54            	5.52074430e-01
1.56            	5.52078071e-01
1.58            	5.52106212e-01
1.6             	5.52098187e-01
1.62            	5.52067864e-01
1.64            	5.52090332e-01
1.66            	5.52102179e-01
1.68            	5.52081127e-01
1.7             	5.52055491e-01
1.72            	5.52089543e-01
1.74            	5.52090828e-01
1.76            	5.52060713e-01
1.78            	5.52044368e-01
1.8             	5.52074306e-01
1.82            	5.52058804e-01
1.84            	5.52031948e-01
1.86            	5.52044516e-01
1.88            	5.52062914e-01
1.9             	5.52043910e-01
1.92            	5.52013448e-01
1.94            	5.52043803e-01
1.96            	5.52055083e-01
1.98            	5.52042958e-01
2               	5.52022253e-01
2.02            	5.52061512e-01
2.04            	5.52056806e-01
2.06            	5.52019038e-01
2.08            	5.52036613e-01
2.1             	5.52060470e-01
2.12            	5.52049007e-01
2.14            	5.52035499e-01
2.16            	5.52042002e-01
2.18            	5.52068644e-01
2.2             	5.52052474e-01
2.22            	5.52016905e-01
2.24            	5.52056030e-01
2.26            	5.52061584e-01
2.28            	5.52043671e-01
2.3             	5.52006755e-01
2.32            	5.52059837e-01
2.34            	5.52042123e-01
2.36            	5.52039122e-01
2.38            	5.52037279e-01
2.4             	5.52079517e-01
2.42            	5.52048384e-01
2.44            	5.52021548e-01
2.46            	5.52065138e-01
2.48            	5.52074667e-01
2.5             	5.52058629e-01
2.52            	5.52039322e-01
2.54            	5.52066505e-01
2.56            	5.52074558e-01
2.58            	5.52035835e-01
2.6             	5.52039544e-01
2.62            	5.52073138e-01
2.64            	5.52065134e-01
2.66            	5.52033573e-01
2.68            	5.52036762e-01
2.7             	5.52072086e-01
2.72            	5.52054842e-01
2.74            	5.52028563e-01
2.76            	5.52055159e-01
2.78            	5.52047709e-01
2.8             	5.52024923e-01
2.82            	5.52016117e-01
2.84            	5.52059937e-01
2.86            	5.52041237e-01
2.88            	5.52061752e-01
2.9             	5.52064662e-01
2.92            	5.52067997e-01
2.94            	5.52066514e-01
2.96            	5.52043096e-01
2.98            	5.52053879e-01
3               	5.52077088e-01
3.02            	5.52049859e-01
3.04            	5.52034983e-01
3.06            	5.52072429e-01
3.08            	5.52066942e-01
3.1             	5.52047558e-01
3.12            	5.52047799e-01
3.14            	5.52076447e-01
3.16            	5.52072739e-01
3.18            	5.52028260e-01
3.2             	5.52046216e-01
3.22            	5.52077352e-01
3.24            	5.52049018e-01
3.26            	5.52031501e-01
3.28            	5.52057413e-01
3.3             	5.52075128e-01
3.32            	5.52047851e-01
3.34            	5.52029385e-01
3.36            	5.52085570e-01
3.38            	5.52068235e-01
3.4             	5.52035867e-01
3.42            	5.52045214e-01
3.44            	5.52077281e-01
3.46            	5.52063735e-01
3.48            	5.52034776e-01
3.5             	5.52066773e-01
3.52            	5.52084627e-01
3.54            	5.52053880e-01
3.56            	5.52040340e-01
3.58            	5.52064420e-01
3.6             	5.52050946e-01
3.62            	5.52025481e-01
3.64            	5.52013376e-01
3.66            	5.52058761e-01
3.68            	5.52044256e-01
3.7             	5.52026621e-01
3.72            	5.52046412e-01
3.74            	5.52053854e-01
3.76            	5.52052325e-01
3.78            	5.52009068e-01
3.8             	5.52062320e-01
3.82            	5.52071676e-01
3.84            	5.52044960e-01
3.86            	5.52061696e-01
3.88            	5.52088840e-01
3.9             	5.52066826e-01
3.92            	5.52046250e-01
3.94            	5.52074144e-01
3.96            	5.52083600e-01
3.98            	5.52056850e-01
4               	5.52045909e-01
4.02            	5.52091440e-01
4.04            	5.52068907e-01
4.06            	5.52044228e-01
4.08            	5.52051322e-01
4.1             	5.52089127e-01
4.12            	5.52067133e-01
4.14            	5.52032500e-01
4.16            	5.52068744e-01
4.18            	5.52076485e-01
4.2             	5.52043125e-01
4.22            	5.52028268e-01
4.24            	5.52067538e-01
4.26            	5.52066452e-01
4.28            	5.52036391e-01
4.3             	5.52027935e-01
4.32            	5.52085640e-01
4.34            	5.52056207e-01
4.36            	5.52032334e-01
4.38            	5.52054303e-01
4.4             	5.52081105e-01
4.42            	5.52069238e-01
4.44            	5.52029525e-01
4.46            	5.52067997e-01
4.48            	5.52064723e-01
4.5             	5.52042115e-01
4.52            	5.52023647e-01
4.54            	5.52045842e-01
4.56            	5.52054772e-01
4.58            	5.52018618e-01
4.6             	5.52035601e-01
4.62            	5.52050282e-01
4.64            	5.52081603e-01
4.66            	5.52052015e-01
4.68            	5.52049071e-01
4.7             	5.52081077e-01
4.72            	5.52058343e-01
4.74            	5.52021117e-01
4.76            	5.52073892e-01
4.78            	5.52075085e-01
4.8             	5.52050835e-01
4.82            	5.52052150e-01
4.84            	5.52067839e-01
4.86            	5.52059577e-01
4.88            	5.52019696e-01
4.9             	5.52041041e-01
4.92            	5.52073616e-01
4.94            	5.52049624e-01
4.96            	5.52021033e-01
4.98            	5.52055950e-01
5               	5.52053935e-01
5.02            	5.52061506e-01
5.04            	5.52038733e-01
5.06            	5.52076824e-01
5.08            	5.52059652e-01
5.1             	5.52050491e-01
5.12            	5.52061009e-01
5.14            	5.52080595e-01
5.16            	5.52064143e-01
5.18            	5.52038569e-01
5.2             	5.52075920e-01
5.22            	5.52085174e-01
5.24            	5.52054583e-01
5.26            	5.52050837e-01
5.28            	5.52084842e-01
5.3             	5.52078137e-01
5.32            	5.52053274e-01
5.34            	5.52045919e-01
5.36            	5.52078995e-01
5.38            	5.52062371e-01
5.4             	5.52027601e-01
5.42            	5.52062734e-01
5.44            	5.52072368e-01
5.46            	5.52057999e-01
5.48            	5.52029112e-01
5.5             	5.52059208e-01
5.52            	5.52077144e-01
5.54            	5.52041207e-01
5.56            	5.52036402e-01
5.58            	5.52068103e-01
5.6             	5.52063690e-01
5.62            	5.52021822e-01
5.64            	5.52032508e-01
5.66            	5.52066963e-01
5.68            	5.52068803e-01
5.7             	5.52015118e-01
5.72            	5.52057630e-01
5.74            	5.52071359e-01
5.76            	5.52047326e-01
5.78            	5.52040360e-01
5.8             	5.52071343e-01
5.82            	5.52074377e-01
5.84            	5.52033804e-01
5.86            	5.52051466e-01
5.88            	5.52074856e-01
5.9             	5.52054785e-01
5.92            	5.52042676e-01
5.94            	5.52054124e-01
5.96            	5.52075825e-01
5.98            	5.52045758e-01
6               	5.52033585e-01
6.02            	5.52069843e-01
6.04            	5.52070544e-01
6.06            	5.52054410e-01
6.08            	5.52043756e-01
6.1             	5.52064512e-01
6.12            	5.52059390e-01
6.14            	5.52034607e-01
6.16            	5.52047966e-01
6.18            	5.52077680e-01
6.2             	5.52043589e-01
6.22            	5.52019055e-01
6.24            	5.52041485e-01
6.26            	5.52066872e-01
6.28            	5.52043328e-01
6.3             	5.52023911e-01
6.32            	5.52075813e-01
6.34            	5.52059781e-01
6.36            	5.52033562e-01
6.38            	5.52042869e-01
6.4             	5.52079858e-01
6.42            	5.52063935e-01
6.44            	5.52030203e-01
6.46            	5.52059581e-01
6.48            	5.52076824e-01
6.5             	5.52041975e-01
6.52            	5.52030427e-01
6.54            	5.52076234e-01
6.56            	5.52079225e-01
6.58            	5.52057965e-01
6.6             	5.52035372e-01
6.62            	5.52071160e-01
6.64            	5.52057763e-01
6.66            	5.52041351e-01
6.68            	5.52071479e-01
6.7             	5.52090618e-01
6.72            	5.52084120e-01
6.74            	5.52040898e-01
6.76            	5.52075281e-01
6.78            	5.52086044e-01
6.8             	5.52060531e-01
6.82            	5.52050707e-01
6.84            	5.52080809e-01
6.86            	5.52075232e-01
6.88            	5.52048410e-01
6.9             	5.52042377e-01
6.92            	5.52079619e-01
6.94            	5.52064646e-01
6.96            	5.52042660e-01
6.98            	5.52061518e-01
7               	5.52071128e-01
7.02            	5.52064017e-01
7.04            	5.52028105e-01
7.06            	5.52059158e-01
7.08            	5.52066639e-01
7.1             	5.52039337e-01
7.12            	5.52031232e-01
7.14            	5.52053874e-01
7.16            	5.52063268e-01
7.18            	5.52018838e-01
7.2             	5.52000166e-01
7.22            	5.52061434e-01
7.24            	5.52013273e-01
7.26            	5.52038948e-01
7.28            	5.52043221e-01
7.3             	5.52071093e-01
7.32            	5.52057708e-01
7.34            	5.52021043e-01
7.36            	5.52062294e-01
7.38            	5.52051952e-01
7.4             	5.52039295e-01
7.42            	5.52031954e-01
7.44            	5.52055427e-01
7.46            	5.52042230e-01
7.48            	5.52015083e-01
7.5             	5.52053624e-01
7.52            	5.52071131e-01
7.54            	5.52058580e-01
7.56            	5.52037286e-01
7.58            	5.52061296e-01
7.6             	5.52067638e-01
7.62            	5.52044424e-01
7.64            	5.52047184e-01
7.66            	5.52067996e-01
7.68            	5.52075952e-01
7.7             	5.52038539e-01
7.72            	5.52048653e-01
7.74            	5.52064358e-01
7.76            	5.52053448e-01
7.78            	5.52011092e-01
7.8             	5.52043139e-01
7.82            	5.52057539e-01
7.84            	5.52031991e-01
7.86            	5.52004271e-01
7.88            	5.52047462e-01
7.9             	5.52058940e-01
7.92            	5.52039602e-01
7.94            	5.52044580e-01
7.96            	5.52082244e-01
7.98            	5.52069836e-01
8               	5.52029682e-01
8.02            	5.52041556e-01
8.04            	5.52045814e-01
8.06            	5.52047215e-01
8.08            	5.52092322e-01
8.1             	5.52070323e-01
8.12            	5.52050107e-01
8.14            	5.52048755e-01
8.16            	5.52079329e-01
8.18            	5.52057479e-01
8.2             	5.52023805e-01
8.22            	5.52055458e-01
8.24            	5.52070527e-01
8.26            	5.52049207e-01
8.28            	5.52032107e-01
8.3             	5.52071438e-01
8.32            	5.52085767e-01
8.34            	5.52059429e-01
8.36            	5.52064438e-01
8.38            	5.52040913e-01
8.4             	5.52061587e-01
8.42            	5.52044646e-01
8.44            	5.52085308e-01
8.46            	5.52087427e-01
8.48            	5.52073241e-01
8.5             	5.52041842e-01
8.52            	5.52085368e-01
8.54            	5.52074099e-01
8.56            	5.52059649e-01
8.58            	5.52071577e-01
8.6             	5.52089348e-01
8.62            	5.52077607e-01
8.64            	5.52029932e-01
8.66            	5.52052116e-01
8.68            	5.52069355e-01
8.7             	5.52069510e-01
8.72            	5.52028393e-01
8.74            	5.52059083e-01
8.76            	5.52056107e-01
8.78            	5.52040947e-01
8.8             	5.52021050e-01
8.82            	5.52068452e-01
8.84            	5.52042118e-01
8.86            	5.52066449e-01
8.88            	5.52073861e-01
8.9             	5.52065825e-01
8.92            	5.52082012e-01
8.94            	5.52040728e-01
8.96            	5.52074368e-01
8.98            	5.52097017e-01
9               	5.52056244e-01
9.02            	5.52044500e-01
9.04            	5.52074919e-01
9.06            	5.52068233e-01
9.08            	5.52050041e-01
9.1             	5.52049504e-01
9.12            	5.52085544e-01
9.14            	5.52058767e-01
9.16            	5.52015081e-01
9.18            	5.52046079e-01
9.2             	5.52051357e-01
9.22            	5.52035946e-01
9.24            	5.52018443e-01
9.26            	5.52060357e-01
9.28            	5.52071592e-01
9.3             	5.52040963e-01
9.32            	5.52055134e-01
9.34            	5.52079419e-01
9.36            	5.52053232e-01
9.38            	5.52047322e-01
9.4             	5.52059365e-01
9.42            	5.52045439e-01
9.44            	5.52062743e-01
9.46            	5.52078224e-01
9.48            	5.52077156e-01
9.5             	5.52044327e-01
9.52            	5.52069391e-01
9.54            	5.52087731e-01
9.56            	5.52060929e-01
9.58            	5.52057281e-01
9.6             	5.52075866e-01
9.62            	5.52089176e-01
9.64            	5.52060726e-01
9.66            	5.52048901e-01
9.68            	5.52075164e-01
9.7             	5.52069484e-01
9.72            	5.52054948e-01
9.74            	5.52040853e-01
9.76            	5.52061659e-01
9.78            	5.52054378e-01
9.8             	5.52028070e-01
9.82            	5.52044372e-01
9.84            	5.52076265e-01
9.86            	5.52055195e-01
9.88            	5.52037560e-01
9.9             	5.52055892e-01
9.92            	5.52081913e-01
9.94            	5.52053698e-01
9.96            	5.52027685e-01
9.98            	5.52079704e-01
10              	5.52067196e-01
