# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.12            	mag(U)          	2.15317976e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.18043545e+00	(8.37500000e-01 2.87500000e-01 4.18939735e-17)	5
0.12            	rho             	2.98558301e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.77771829e+00	(5.37500000e-01 1.25000000e-02 4.86786698e-19)	1
0.12            	p               	2.67059688e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.97940252e+01	(5.37500000e-01 1.25000000e-02 4.86786698e-19)	1
0.245           	mag(U)          	3.95881466e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.19254049e+00	(1.18750000e+00 4.37500000e-01 -4.89296425e-19)	4
0.245           	rho             	2.59426874e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	5.27531551e+00	(4.87500000e-01 2.12500000e-01 -1.16692278e-18)	1
0.245           	p               	2.88595659e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.21535824e+01	(5.62500000e-01 1.25000000e-02 2.60911245e-19)	1
0.36625         	mag(U)          	4.16928699e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.17001512e+00	(1.63750000e+00 5.62500000e-01 -1.88103054e-17)	13
0.36625         	rho             	2.26180375e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	5.69868835e+00	(4.37500000e-01 1.25000000e-02 5.91693297e-19)	1
0.36625         	p               	2.06146408e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.25980863e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.48588235      	mag(U)          	4.52720792e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.19608796e+00	(8.87500000e-01 2.87500000e-01 3.77723990e-18)	5
0.48588235      	rho             	1.46504957e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	5.78578452e+00	(4.62500000e-01 1.25000000e-02 -6.42590565e-19)	1
0.48588235      	p               	1.31010673e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.24503223e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.60235294      	mag(U)          	4.89261733e-02	(5.87500000e-01 0.00000000e+00 3.18032637e-19)	1	3.16869822e+00	(2.01250000e+00 9.87500000e-01 1.18057570e-19)	15
0.60235294      	rho             	1.43439622e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	5.76612403e+00	(4.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.60235294      	p               	1.39250522e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.25750530e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.7225          	mag(U)          	4.76123212e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.28108433e+00	(2.48750000e+00 8.87500000e-01 7.29935097e-17)	11
0.7225          	rho             	1.81372024e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	5.97139145e+00	(1.26250000e+00 9.87500000e-01 -1.26430020e-18)	6
0.7225          	p               	1.86450208e-01	(7.12500000e-01 2.12500000e-01 5.31299220e-18)	5	1.23464024e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.8475          	mag(U)          	4.85195554e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.28195624e+00	(2.68750000e+00 8.12500000e-01 -3.32672780e-16)	10
0.8475          	rho             	2.00486374e-01	(6.62500000e-01 2.00000000e-01 -3.32488666e-19)	5	6.98868488e+00	(1.13750000e+00 9.87500000e-01 -1.46391387e-17)	6
0.8475          	p               	1.51860122e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.22603586e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
0.97125         	mag(U)          	4.55592379e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.26290762e+00	(2.88750000e+00 8.37500000e-01 7.79336568e-17)	10
0.97125         	rho             	2.36696371e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	7.51594034e+00	(1.06250000e+00 9.87500000e-01 -2.14254412e-17)	6
