# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	mag(U)          	6.01922823e-16	(6.00000000e-01 7.03125000e-02 4.62592927e-19)	7	3.17158126e+00	(6.45312500e-01 2.14062500e-01 4.53357131e-19)	6
0.02            	rho             	4.09184364e-01	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	6.29422233e+00	(5.98437500e-01 1.48437500e-01 -8.83825549e-19)	7
0.02            	p               	4.49708099e-01	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.76401953e+01	(5.85937500e-01 1.51562500e-01 -2.58240895e-18)	7
0.04            	mag(U)          	3.22003755e-15	(6.00000000e-01 4.68750000e-03 1.01192203e-19)	7	3.16304489e+00	(7.01562500e-01 2.42187500e-01 -3.83727258e-18)	3
0.04            	rho             	1.27915130e-01	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	6.39677087e+00	(5.70312500e-01 1.17187500e-01 2.07403860e-19)	7
0.04            	p               	1.07239436e-01	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.73274261e+01	(5.98437500e-01 1.10937500e-01 -8.06525949e-19)	7
0.06            	mag(U)          	2.14291600e-14	(6.00000000e-01 2.34375000e-02 4.62592927e-19)	7	3.31053919e+00	(6.17187500e-01 2.04687500e-01 3.86096440e-19)	6
0.06            	rho             	8.43856894e-02	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	6.38643358e+00	(5.60937500e-01 7.96875000e-02 -5.55553224e-19)	7
0.06            	p               	7.63471656e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.74736582e+01	(5.54687500e-01 8.28125000e-02 3.02773496e-19)	7
0.08            	mag(U)          	1.48920834e-15	(6.00000000e-01 4.68750000e-03 1.01192203e-19)	7	3.54591922e+00	(6.32812500e-01 2.04687500e-01 3.52472118e-17)	6
0.08            	rho             	3.63356028e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	6.40938215e+00	(5.35937500e-01 5.15625000e-02 4.27657524e-20)	7
0.08            	p               	1.58696147e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.76835863e+01	(5.35937500e-01 5.15625000e-02 4.27657524e-20)	7
0.1             	mag(U)          	8.56486094e-05	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.56842220e+00	(6.32812500e-01 2.04687500e-01 3.52472118e-17)	6
0.1             	rho             	2.85494263e-02	(6.14062500e-01 2.00000000e-01 5.34873072e-19)	6	6.35060062e+00	(5.57812500e-01 1.56250000e-03 -2.76672332e-19)	7
0.1             	p               	2.13050448e-02	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.74363532e+01	(5.32812500e-01 4.68750000e-03 -2.64424863e-19)	7
0.12            	mag(U)          	3.16019024e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.59764334e+00	(6.39062500e-01 2.07812500e-01 3.35962129e-18)	6
0.12            	rho             	1.24197468e-02	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	6.16610375e+00	(5.10937500e-01 1.56250000e-03 -2.76672332e-19)	7
0.12            	p               	4.69492690e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.67487642e+01	(5.10937500e-01 1.56250000e-03 -2.76672332e-19)	7
0.14            	mag(U)          	2.90638709e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.71188241e+00	(6.26562500e-01 2.07812500e-01 -2.55731168e-18)	6
0.14            	rho             	2.19454876e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	6.09760682e+00	(4.89062500e-01 4.84375000e-02 -7.26817012e-20)	7
0.14            	p               	7.01952523e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.55934177e+01	(4.85937500e-01 1.40625000e-02 2.43543932e-19)	7
0.16            	mag(U)          	2.86649033e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.70583666e+00	(6.17187500e-01 2.04687500e-01 3.86096440e-19)	6
0.16            	rho             	2.24056390e-02	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	6.02004915e+00	(4.73437500e-01 1.56250000e-03 -1.90839660e-19)	7
0.16            	p               	1.09529595e-02	(6.07812500e-01 2.01562500e-01 7.13208267e-17)	7	1.47503766e+01	(4.76562500e-01 5.46875000e-02 -2.04191409e-19)	7
0.18            	mag(U)          	2.12396284e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.78247164e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.18            	rho             	7.19217442e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.98298242e+00	(4.64062500e-01 3.28125000e-02 -2.54385954e-19)	7
0.18            	p               	2.61771998e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.41940757e+01	(4.64062500e-01 3.28125000e-02 -2.54385954e-19)	7
0.2             	mag(U)          	3.16547756e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.70799910e+00	(6.35937500e-01 2.07812500e-01 -3.76764271e-17)	6
0.2             	rho             	1.10366173e-02	(6.14062500e-01 2.00000000e-01 5.34873072e-19)	6	5.94323652e+00	(4.54687500e-01 2.96875000e-02 1.55201533e-19)	7
0.2             	p               	3.69154793e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.37783893e+01	(4.54687500e-01 3.28125000e-02 -2.04191409e-19)	7
0.22            	mag(U)          	3.55757506e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.75744464e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.22            	rho             	1.43030389e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.87604756e+00	(4.51562500e-01 5.78125000e-02 4.33279313e-19)	7
0.22            	p               	3.67450364e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.33479226e+01	(4.45312500e-01 1.56250000e-03 -1.90839660e-19)	7
0.24            	mag(U)          	3.86008091e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.68903004e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.24            	rho             	1.56190778e-02	(6.17187500e-01 2.00000000e-01 5.34873072e-19)	6	5.87303216e+00	(4.42187500e-01 1.71875000e-02 -5.55553224e-19)	7
0.24            	p               	7.88722177e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.31706597e+01	(4.42187500e-01 1.40625000e-02 6.13979675e-19)	7
0.26            	mag(U)          	3.99702938e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.74965441e+00	(6.45312500e-01 2.07812500e-01 -1.47568348e-16)	6
0.26            	rho             	6.33590943e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.83630627e+00	(4.35937500e-01 2.96875000e-02 6.49115856e-19)	7
0.26            	p               	2.02595217e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.28708131e+01	(4.35937500e-01 2.96875000e-02 6.49115856e-19)	7
0.28            	mag(U)          	4.36947503e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.71157012e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.28            	rho             	1.08551360e-02	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.81312185e+00	(4.29687500e-01 1.56250000e-03 -3.69030295e-19)	7
0.28            	p               	2.60506423e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.27218822e+01	(5.10937500e-01 1.56250000e-03 -2.76672332e-19)	7
0.3             	mag(U)          	4.65683914e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.73219984e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.3             	rho             	1.72745963e-02	(6.23437500e-01 2.01562500e-01 3.54775044e-19)	6	5.73512128e+00	(4.45312500e-01 2.03125000e-02 4.08944997e-18)	7
0.3             	p               	5.74435591e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26510166e+01	(5.29687500e-01 1.56250000e-03 -3.69030295e-19)	7
0.32            	mag(U)          	4.73395403e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.73045055e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.32            	rho             	7.52149796e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.74471371e+00	(4.26562500e-01 4.68750000e-03 3.87863288e-18)	7
0.32            	p               	3.15832266e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.26102009e+01	(5.45312500e-01 1.56250000e-03 1.75018340e-18)	7
0.34            	mag(U)          	2.39861622e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.68694262e+00	(6.48437500e-01 2.07812500e-01 3.60824491e-17)	6
0.34            	rho             	8.45177029e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.72321621e+00	(4.39062500e-01 1.56250000e-03 -2.63621750e-19)	7
0.34            	p               	2.64324874e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.25822755e+01	(5.35937500e-01 1.56250000e-03 -3.69030295e-19)	7
0.36            	mag(U)          	4.92972464e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.80505978e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
0.36            	rho             	1.37018034e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.71372359e+00	(4.45312500e-01 1.56250000e-03 -1.90839660e-19)	7
0.36            	p               	3.55879110e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26022807e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.38            	mag(U)          	2.29037001e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.74151889e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.38            	rho             	1.13601433e-02	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.71319474e+00	(4.51562500e-01 1.56250000e-03 1.75018340e-18)	7
0.38            	p               	6.14067734e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26397633e+01	(5.85937500e-01 1.56250000e-03 3.09098008e-19)	7
0.4             	mag(U)          	4.94756359e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.77645835e+00	(6.45312500e-01 2.07812500e-01 -1.47568348e-16)	6
0.4             	rho             	5.57746681e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	5.71546026e+00	(4.54687500e-01 1.56250000e-03 3.68819478e-18)	7
0.4             	p               	2.05263665e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.26518113e+01	(5.98437500e-01 1.56250000e-03 -2.71311555e-18)	7
0.42            	mag(U)          	2.61972789e-04	(5.95312500e-01 0.00000000e+00 3.90312782e-19)	7	3.77013722e+00	(6.32812500e-01 2.07812500e-01 -3.45784197e-17)	6
0.42            	rho             	8.79694031e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	5.72311971e+00	(4.51562500e-01 1.56250000e-03 1.75018340e-18)	7
0.42            	p               	1.86852680e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26472878e+01	(5.98437500e-01 4.21875000e-02 -2.05536623e-18)	7
0.44            	mag(U)          	1.07878460e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.72878871e+00	(6.57812500e-01 2.07812500e-01 4.23240404e-19)	6
0.44            	rho             	1.24700206e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	5.73018808e+00	(4.48437500e-01 1.56250000e-03 3.79310138e-18)	7
0.44            	p               	2.93595916e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.26310383e+01	(5.82812500e-01 1.56250000e-03 -3.69030295e-19)	7
0.46            	mag(U)          	5.13543938e-04	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.75135917e+00	(6.23437500e-01 2.07812500e-01 -5.82658279e-19)	6
