# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	mag(U)          	1.66566716e-14	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.13728453e+00	(6.40625000e-01 2.09375000e-01 7.35215563e-17)	9
0.02            	rho             	7.53896020e-01	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	9.14292387e+00	(5.96875000e-01 1.34375000e-01 -2.15234209e-19)	9
0.02            	p               	6.57206783e-01	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	2.71834612e+01	(5.96875000e-01 9.06250000e-02 -2.41335372e-19)	9
0.04            	mag(U)          	6.23274832e-16	(6.00000000e-01 9.37500000e-03 7.51713506e-19)	9	3.16994193e+00	(6.90625000e-01 2.28125000e-01 -1.90542508e-17)	9
0.04            	rho             	3.99587870e-01	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	6.28789593e+00	(5.96875000e-01 9.68750000e-02 3.56240725e-18)	9
0.04            	p               	4.36722962e-01	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.76289908e+01	(5.71875000e-01 1.03125000e-01 -2.43784866e-18)	9
0.06            	mag(U)          	1.18701002e-15	(6.00000000e-01 2.81250000e-02 1.01192203e-19)	9	3.16924074e+00	(7.46875000e-01 2.59375000e-01 -3.62709798e-17)	9
0.06            	rho             	2.41609467e-01	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	6.31334640e+00	(6.00000000e-01 5.93750000e-02 8.23993651e-19)	9
0.06            	p               	2.52957149e-01	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.71002509e+01	(5.96875000e-01 5.93750000e-02 -3.18634972e-19)	9
0.08            	mag(U)          	4.81795907e-11	(6.00000000e-01 3.12500000e-03 -4.33680869e-20)	9	3.16040875e+00	(8.03125000e-01 2.84375000e-01 3.62932662e-17)	12
0.08            	rho             	1.29820916e-01	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	6.39386800e+00	(5.40625000e-01 3.43750000e-02 -5.07366461e-19)	9
0.08            	p               	1.12376951e-01	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	1.73230864e+01	(5.96875000e-01 2.18750000e-02 3.80334107e-18)	9
0.1             	mag(U)          	1.32614357e-04	(5.96875000e-01 0.00000000e+00 2.12503626e-18)	9	3.24240947e+00	(6.46875000e-01 2.09375000e-01 -7.70520398e-17)	9
0.1             	rho             	9.22727978e-02	(6.21875000e-01 2.03125000e-01 2.85105016e-20)	9	6.37343892e+00	(5.40625000e-01 3.12500000e-03 3.01960344e-18)	9
0.1             	p               	6.53656425e-02	(6.15625000e-01 2.03125000e-01 3.08596063e-19)	9	1.72973772e+01	(5.53125000e-01 3.12500000e-03 -1.68613516e-18)	9
