# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.02            	mag(U)          	3.21647338e-14	(6.00000000e-01 3.12500000e-02 1.01192203e-19)	14	3.07429989e+00	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14
0.02            	rho             	1.40000504e+00	(2.61875000e+00 7.81250000e-01 -2.41335372e-19)	5	8.12002923e+00	(5.93750000e-01 6.87500000e-02 -4.97327552e-19)	14
0.02            	p               	1.00000000e+00	(1.68125000e+00 3.31250000e-01 1.51484728e-16)	3	1.73862016e+01	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.04            	mag(U)          	4.09689422e-14	(6.00000000e-01 4.37500000e-02 -2.60208521e-19)	14	3.13655696e+00	(6.81250000e-01 2.18750000e-01 8.06887350e-18)	11
0.04            	rho             	7.52448690e-01	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	9.11547260e+00	(5.93750000e-01 6.87500000e-02 -4.97327552e-19)	14
0.04            	p               	6.56162837e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	2.70971609e+01	(5.93750000e-01 5.62500000e-02 -3.29677772e-19)	14
0.06            	mag(U)          	1.06822710e-13	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.16365079e+00	(7.18750000e-01 2.43750000e-01 2.58562140e-18)	11
0.06            	rho             	3.14710201e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	6.78439751e+00	(5.68750000e-01 3.12500000e-02 -2.39327591e-19)	14
0.06            	p               	2.86153737e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.98458729e+01	(5.68750000e-01 3.12500000e-02 -2.39327591e-19)	14
0.08            	mag(U)          	8.36395191e-10	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.16912111e+00	(7.81250000e-01 2.56250000e-01 7.79085596e-17)	11
0.08            	rho             	3.95620473e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	6.28479298e+00	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.08            	p               	4.31691661e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.76237458e+01	(5.43750000e-01 6.25000000e-03 4.86786698e-19)	14
0.1             	mag(U)          	1.55933263e-03	(6.00000000e-01 6.25000000e-03 -4.33680869e-20)	14	3.17270919e+00	(8.31250000e-01 2.81250000e-01 2.37681210e-18)	11
0.1             	rho             	3.43018955e-01	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	6.22469080e+00	(5.93750000e-01 6.25000000e-03 -3.33502596e-18)	14
0.1             	p               	3.76322293e-01	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.68869835e+01	(5.68750000e-01 6.25000000e-03 5.56155559e-20)	14
0.12            	mag(U)          	3.29909170e-03	(5.81250000e-01 0.00000000e+00 -3.32488666e-19)	14	3.16748709e+00	(8.93750000e-01 3.18750000e-01 6.86259820e-19)	11
0.12            	rho             	2.39636026e-01	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	6.02061066e+00	(5.06250000e-01 0.00000000e+00 -3.32488666e-19)	14
0.12            	p               	2.49990482e-01	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14	1.61026941e+01	(5.18750000e-01 6.25000000e-03 4.29564916e-19)	14
0.14            	mag(U)          	1.12427378e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.17630005e+00	(6.31250000e-01 2.06250000e-01 7.31836466e-20)	14
0.14            	rho             	1.90133529e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.96801116e+00	(4.93750000e-01 6.25000000e-03 -4.69027868e-18)	14
0.14            	p               	1.88072898e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.54338839e+01	(4.93750000e-01 6.25000000e-03 -4.69027868e-18)	14
0.16            	mag(U)          	1.04184592e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.15911927e+00	(1.00625000e+00 3.68750000e-01 3.61717954e-17)	11
0.16            	rho             	1.31586061e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.94134795e+00	(4.93750000e-01 1.06250000e-01 2.47559496e-19)	14
0.16            	p               	1.15727775e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.45390350e+01	(4.81250000e-01 6.25000000e-03 2.85105016e-20)	14
0.18            	mag(U)          	1.29424984e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.19334594e+00	(7.31250000e-01 2.43750000e-01 5.79847384e-19)	11
0.18            	rho             	1.13804411e-01	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.88065579e+00	(4.81250000e-01 1.06250000e-01 3.82843834e-18)	14
0.18            	p               	9.31878246e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.38227276e+01	(4.68750000e-01 6.25000000e-03 3.08596063e-19)	14
0.2             	mag(U)          	1.29559894e-02	(5.93750000e-01 0.00000000e+00 1.76363553e-18)	14	3.24080094e+00	(6.93750000e-01 2.18750000e-01 1.28032230e-17)	11
0.2             	rho             	8.94851834e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	5.76230634e+00	(4.68750000e-01 9.37500000e-02 7.09349310e-19)	14
0.2             	p               	6.42979711e-02	(6.43750000e-01 2.06250000e-01 -2.14139968e-18)	14	1.33176965e+01	(5.06250000e-01 6.25000000e-03 -4.92910432e-20)	14
