# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00025       	rho           	1.400005e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.532415e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00025       	p             	9.999997e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.134599e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0005        	rho           	1.400004e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.664514e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0005        	p             	9.999987e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.274011e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00075       	rho           	1.400002e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.796352e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00075       	p             	9.999974e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.418338e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.001         	rho           	1.400001e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.928094e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.001         	p             	9.999958e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.567770e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00125       	rho           	1.399999e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	2.059763e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00125       	p             	9.999940e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.722316e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0015        	rho           	1.399997e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	2.191385e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0015        	p             	9.999920e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	1.881956e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00175       	rho           	1.399995e+00	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	2.322983e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00175       	p             	9.999901e-01	(3.009719e-01 8.602680e-02 -3.272174e-20)	12	2.046640e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.002         	rho           	1.399996e+00	(2.781134e-01 8.036123e-02 -1.211796e-20)	12	2.454407e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.002         	p             	9.999911e-01	(2.781134e-01 8.036123e-02 -1.211796e-20)	12	2.216094e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00225       	rho           	1.399997e+00	(2.476349e-01 7.280706e-02 1.176193e-19)	12	2.584243e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00225       	p             	9.999923e-01	(2.476349e-01 7.280706e-02 1.176193e-19)	12	2.388573e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0025        	rho           	1.399999e+00	(2.095365e-01 6.336426e-02 -3.306204e-20)	13	2.711898e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0025        	p             	9.999940e-01	(2.095365e-01 6.336426e-02 -3.306204e-20)	13	2.563200e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00275       	rho           	1.400000e+00	(1.714378e-01 5.392138e-02 5.950298e-21)	8	2.837051e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00275       	p             	9.999952e-01	(1.714378e-01 5.392138e-02 5.950298e-21)	8	2.739387e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.003         	rho           	1.400001e+00	(1.333389e-01 4.447844e-02 5.023217e-19)	8	2.959418e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.003         	p             	9.999960e-01	(1.333389e-01 4.447844e-02 5.023217e-19)	8	2.916560e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00325       	rho           	1.400001e+00	(1.028596e-01 3.692406e-02 -2.830363e-19)	9	3.078749e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00325       	p             	9.999964e-01	(1.028596e-01 3.692406e-02 -2.830363e-19)	9	3.094174e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0035        	rho           	1.400002e+00	(6.476040e-02 2.748106e-02 -1.541498e-19)	4	3.194837e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.0035        	p             	9.999970e-01	(6.476040e-02 2.748106e-02 -1.541498e-19)	4	3.271710e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00375       	rho           	1.400003e+00	(2.666107e-02 1.803803e-02 -9.406721e-20)	4	3.307516e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
0.00375       	p             	9.999975e-01	(2.666107e-02 1.803803e-02 -9.406721e-20)	4	3.448678e+00	(3.009719e-01 8.243906e-02 -1.293095e-19)	12
