# Region type : patch obstacle
# Faces       : 40
# Area        : 3.155522e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
0.00025       	1.089130e+00
0.0005        	1.180371e+00
0.00075       	1.273747e+00
0.001         	1.369273e+00
0.00125       	1.466949e+00
0.0015        	1.566767e+00
0.00175       	1.668709e+00
0.002         	1.772741e+00
0.00225       	1.878702e+00
0.0025        	1.986333e+00
0.00275       	2.095372e+00
0.003         	2.205558e+00
0.00325       	2.316627e+00
0.0035        	2.428323e+00
0.00375       	2.540392e+00
0.004         	2.652592e+00
0.00425       	2.764723e+00
0.0045        	2.876599e+00
0.00475       	2.988047e+00
0.005         	3.098902e+00
0.00525       	3.209005e+00
0.0055        	3.318207e+00
0.00575       	3.426362e+00
0.006         	3.533332e+00
0.00625       	3.638985e+00
0.0065        	3.743193e+00
0.00675       	3.845831e+00
0.007         	3.946776e+00
0.00725       	4.045910e+00
0.0075        	4.143121e+00
0.00775       	4.238300e+00
0.008         	4.331345e+00
0.00825       	4.422159e+00
0.0085        	4.510649e+00
0.00875       	4.596725e+00
0.009         	4.680302e+00
0.00925       	4.761300e+00
0.0095        	4.839642e+00
0.00975       	4.915247e+00
0.01          	4.988045e+00
0.01025       	5.057968e+00
0.0105        	5.124950e+00
0.01075       	5.188939e+00
0.011         	5.249884e+00
0.01125       	5.307744e+00
0.0115        	5.362482e+00
0.01175       	5.414067e+00
0.012         	5.462476e+00
0.01225       	5.507689e+00
0.0125        	5.549691e+00
0.01275       	5.588470e+00
0.013         	5.624012e+00
0.01325       	5.656308e+00
0.0135        	5.685353e+00
0.01375       	5.711146e+00
0.014         	5.733692e+00
0.01425       	5.752999e+00
0.0145        	5.769077e+00
0.01475       	5.781934e+00
0.015         	5.791549e+00
0.01525       	5.797917e+00
0.0155        	5.801107e+00
0.01575       	5.801273e+00
0.016         	5.798404e+00
0.01625       	5.792631e+00
0.0165        	5.784094e+00
0.01675       	5.772971e+00
0.017         	5.759366e+00
0.01725       	5.743470e+00
0.0175        	5.725418e+00
0.01775       	5.705465e+00
0.018         	5.683843e+00
0.01825       	5.660632e+00
0.0185        	5.636026e+00
0.01875       	5.610207e+00
0.019         	5.583309e+00
0.01925       	5.555470e+00
0.0195        	5.526890e+00
0.01975       	5.497655e+00
0.02          	5.467880e+00
0.02025       	5.437642e+00
0.0205        	5.407067e+00
0.02075       	5.376230e+00
0.021         	5.345235e+00
0.02125       	5.314147e+00
0.0215        	5.283075e+00
0.02175       	5.252070e+00
0.022         	5.221231e+00
0.02225       	5.190612e+00
0.0225        	5.160297e+00
0.02275       	5.130340e+00
0.023         	5.100810e+00
0.02325       	5.071781e+00
0.0235        	5.043303e+00
0.02375       	5.015470e+00
0.024         	4.988328e+00
0.02425       	4.961984e+00
0.0245        	4.936483e+00
0.02475       	4.911911e+00
0.025         	4.888301e+00
0.02525       	4.865729e+00
0.0255        	4.844206e+00
0.02575       	4.823793e+00
0.026         	4.804477e+00
0.02625       	4.786278e+00
0.0265        	4.769200e+00
0.02675       	4.753257e+00
0.027         	4.738419e+00
0.02725       	4.724682e+00
0.0275        	4.712011e+00
0.02775       	4.700387e+00
0.028         	4.689741e+00
0.02825       	4.680043e+00
0.0285        	4.671213e+00
0.02875       	4.663226e+00
0.029         	4.656039e+00
0.02925       	4.649605e+00
0.0295        	4.643875e+00
0.02975       	4.638780e+00
0.03          	4.634270e+00
0.03025       	4.630308e+00
0.0305        	4.626856e+00
0.03075       	4.623865e+00
0.031         	4.621300e+00
0.03125       	4.619156e+00
0.0315        	4.617393e+00
0.03175       	4.615973e+00
0.032         	4.614871e+00
0.03225       	4.614060e+00
0.0325        	4.613496e+00
0.03275       	4.613157e+00
0.033         	4.613039e+00
0.03325       	4.613123e+00
0.0335        	4.613387e+00
0.03375       	4.613812e+00
0.034         	4.614377e+00
0.03425       	4.615060e+00
0.0345        	4.615854e+00
0.03475       	4.616758e+00
0.035         	4.617747e+00
0.03525       	4.618807e+00
0.0355        	4.619934e+00
0.03575       	4.621115e+00
0.036         	4.622329e+00
0.03625       	4.623580e+00
0.0365        	4.624866e+00
0.03675       	4.626172e+00
0.037         	4.627487e+00
0.03725       	4.628809e+00
0.0375        	4.630132e+00
0.03775       	4.631439e+00
0.038         	4.632730e+00
