# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00025       	rho           	1.400005e+00	(3.043235e-01 8.220751e-02 4.192258e-20)	14	2.503440e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.00025       	p             	9.999998e-01	(3.043235e-01 8.220751e-02 4.192258e-20)	14	2.249748e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.0005        	rho           	1.400005e+00	(1.119186e-01 3.113610e-02 -1.166473e-19)	8	3.481857e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.0005        	p             	9.999999e-01	(1.119186e-01 3.113610e-02 -1.166473e-19)	8	3.697276e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.00075       	rho           	1.399913e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.214934e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.00075       	p             	9.999265e-01	(2.381117e-03 2.060787e-03 3.145493e-20)	0	5.029182e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.001         	rho           	1.399895e+00	(1.428617e-03 1.807958e-03 1.941034e-20)	0	4.694151e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.001         	p             	9.998785e-01	(1.428617e-03 1.807958e-03 1.941034e-20)	0	6.042060e+00	(3.043235e-01 8.176465e-02 8.849486e-20)	14
0.00125       	rho           	1.399579e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.940809e+00	(3.033710e-01 8.151023e-02 -9.382528e-21)	14
0.00125       	p             	9.995812e-01	(2.381117e-03 2.060787e-03 3.145493e-20)	0	6.594081e+00	(3.033710e-01 8.151023e-02 -9.382528e-21)	14
0.0015        	rho           	1.399582e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.965630e+00	(2.795585e-01 7.514964e-02 1.759038e-19)	14
0.0015        	p             	9.995866e-01	(2.381117e-03 2.060787e-03 3.145493e-20)	0	6.662265e+00	(2.814635e-01 7.565848e-02 -2.553780e-20)	14
0.00175       	rho           	1.399596e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.955737e+00	(2.309810e-01 6.217402e-02 -3.934880e-21)	15
0.00175       	p             	9.996010e-01	(2.381117e-03 2.060787e-03 3.145493e-20)	0	6.647895e+00	(2.328860e-01 6.268287e-02 -4.435362e-20)	15
0.002         	rho           	1.399598e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.948356e+00	(1.814511e-01 4.894398e-02 -1.635179e-20)	9
0.002         	p             	9.996040e-01	(2.381117e-03 2.060787e-03 3.145493e-20)	0	6.637214e+00	(1.833561e-01 4.945282e-02 2.351665e-19)	9
0.00225       	rho           	1.399598e+00	(2.381117e-03 2.060787e-03 3.145493e-20)	0	4.942651e+00	(1.328736e-01 3.596836e-02 -4.733096e-21)	8
