# Region type : patch obstacle
# Faces       : 320
# Area        : 3.155522e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
0.00025       	1.773432e+00
0.0005        	2.685372e+00
0.00075       	3.632044e+00
0.001         	4.508287e+00
0.00125       	5.242998e+00
0.0015        	5.783183e+00
0.00175       	6.094344e+00
0.002         	6.154791e+00
0.00225       	6.020785e+00
0.0025        	5.797432e+00
0.00275       	5.536297e+00
0.003         	5.269606e+00
0.00325       	5.022429e+00
0.0035        	4.811324e+00
0.00375       	4.647056e+00
0.004         	4.544379e+00
0.00425       	4.502293e+00
0.0045        	4.498621e+00
0.00475       	4.513164e+00
0.005         	4.536039e+00
0.00525       	4.560869e+00
0.0055        	4.583857e+00
0.00575       	4.603644e+00
0.006         	4.620415e+00
0.00625       	4.634401e+00
0.0065        	4.645154e+00
0.00675       	4.652816e+00
0.007         	4.658548e+00
0.00725       	4.663190e+00
0.0075        	4.667284e+00
0.00775       	4.671126e+00
0.008         	4.674851e+00
0.00825       	4.678550e+00
0.0085        	4.681998e+00
0.00875       	4.684494e+00
0.009         	4.685929e+00
0.00925       	4.686038e+00
0.0095        	4.685019e+00
0.00975       	4.683431e+00
0.01          	4.681843e+00
0.01025       	4.680772e+00
0.0105        	4.680346e+00
0.01075       	4.680671e+00
0.011         	4.681608e+00
0.01125       	4.683103e+00
0.0115        	4.684802e+00
0.01175       	4.686184e+00
0.012         	4.687147e+00
0.01225       	4.687782e+00
0.0125        	4.688423e+00
0.01275       	4.689047e+00
0.013         	4.689339e+00
0.01325       	4.689338e+00
0.0135        	4.689300e+00
0.01375       	4.689745e+00
0.014         	4.690615e+00
0.01425       	4.691495e+00
0.0145        	4.692114e+00
0.01475       	4.692473e+00
0.015         	4.692907e+00
0.01525       	4.693449e+00
0.0155        	4.693840e+00
0.01575       	4.693813e+00
0.016         	4.693460e+00
0.01625       	4.693190e+00
0.0165        	4.693309e+00
0.01675       	4.693574e+00
0.017         	4.693653e+00
0.01725       	4.693560e+00
0.0175        	4.693621e+00
0.01775       	4.694031e+00
0.018         	4.694484e+00
0.01825       	4.694598e+00
0.0185        	4.694246e+00
0.01875       	4.693812e+00
0.019         	4.693687e+00
0.01925       	4.693714e+00
0.0195        	4.693608e+00
0.01975       	4.693239e+00
0.02          	4.692904e+00
0.02025       	4.692920e+00
0.0205        	4.693221e+00
0.02075       	4.693448e+00
0.021         	4.693324e+00
0.02125       	4.693062e+00
0.0215        	4.693000e+00
0.02175       	4.693165e+00
0.022         	4.693196e+00
0.02225       	4.692869e+00
0.0225        	4.692297e+00
0.02275       	4.691820e+00
0.023         	4.691645e+00
0.02325       	4.691613e+00
0.0235        	4.691438e+00
0.02375       	4.691120e+00
0.024         	4.690856e+00
0.02425       	4.690885e+00
0.0245        	4.691139e+00
0.02475       	4.691238e+00
0.025         	4.691085e+00
0.02525       	4.690778e+00
0.0255        	4.690536e+00
0.02575       	4.690480e+00
0.026         	4.690406e+00
0.02625       	4.690072e+00
0.0265        	4.689646e+00
0.02675       	4.689360e+00
0.027         	4.689311e+00
0.02725       	4.689374e+00
0.0275        	4.689319e+00
0.02775       	4.689111e+00
0.028         	4.688936e+00
0.02825       	4.688902e+00
0.0285        	4.689008e+00
0.02875       	4.689030e+00
0.029         	4.688826e+00
0.02925       	4.688513e+00
0.0295        	4.688349e+00
0.02975       	4.688342e+00
0.03          	4.688317e+00
0.03025       	4.688144e+00
0.0305        	4.687900e+00
0.03075       	4.687777e+00
0.031         	4.687813e+00
0.03125       	4.687872e+00
0.0315        	4.687809e+00
0.03175       	4.687624e+00
0.032         	4.687479e+00
0.03225       	4.687474e+00
0.0325        	4.687481e+00
0.03275       	4.687406e+00
0.033         	4.687183e+00
0.03325       	4.686986e+00
0.0335        	4.686922e+00
0.03375       	4.686857e+00
0.034         	4.686764e+00
0.03425       	4.686545e+00
0.0345        	4.686401e+00
0.03475       	4.686386e+00
0.035         	4.686380e+00
0.03525       	4.686391e+00
0.0355        	4.686305e+00
0.03575       	4.686150e+00
0.036         	4.686061e+00
0.03625       	4.686024e+00
0.0365        	4.685967e+00
0.03675       	4.685871e+00
0.037         	4.685742e+00
0.03725       	4.685681e+00
0.0375        	4.685621e+00
0.03775       	4.685486e+00
0.038         	4.685315e+00
0.03825       	4.685150e+00
0.0385        	4.685115e+00
0.03875       	4.685109e+00
0.039         	4.685030e+00
0.03925       	4.684946e+00
0.0395        	4.684868e+00
0.03975       	4.684895e+00
0.04          	4.684935e+00
0.04025       	4.684840e+00
0.0405        	4.684673e+00
0.04075       	4.684535e+00
0.041         	4.684508e+00
0.04125       	4.684531e+00
0.0415        	4.684403e+00
0.04175       	4.684195e+00
0.042         	4.684005e+00
0.04225       	4.683975e+00
0.0425        	4.684048e+00
0.04275       	4.683948e+00
0.043         	4.683694e+00
0.04325       	4.683427e+00
0.0435        	4.683382e+00
0.04375       	4.683481e+00
0.044         	4.683476e+00
0.04425       	4.683265e+00
0.0445        	4.682992e+00
0.04475       	4.682945e+00
0.045         	4.683083e+00
0.04525       	4.683136e+00
0.0455        	4.682928e+00
0.04575       	4.682586e+00
0.046         	4.682405e+00
0.04625       	4.682497e+00
0.0465        	4.682547e+00
0.04675       	4.682354e+00
0.047         	4.681991e+00
0.04725       	4.681792e+00
0.0475        	4.681922e+00
0.04775       	4.682050e+00
0.048         	4.681925e+00
0.04825       	4.681600e+00
0.0485        	4.681434e+00
0.04875       	4.681569e+00
0.049         	4.681703e+00
0.04925       	4.681557e+00
0.0495        	4.681173e+00
0.04975       	4.680944e+00
0.05          	4.680994e+00
0.05025       	4.681171e+00
0.0505        	4.681152e+00
0.05075       	4.680943e+00
0.051         	4.680732e+00
0.05125       	4.680649e+00
0.0515        	4.680764e+00
0.05175       	4.680848e+00
0.052         	4.680779e+00
0.05225       	4.680746e+00
0.0525        	4.680917e+00
0.05275       	4.681350e+00
0.053         	4.681887e+00
0.05325       	4.682290e+00
0.0535        	4.682455e+00
0.05375       	4.682613e+00
0.054         	4.683020e+00
0.05425       	4.683539e+00
0.0545        	4.683991e+00
0.05475       	4.684267e+00
0.055         	4.684573e+00
0.05525       	4.685113e+00
0.0555        	4.685777e+00
0.05575       	4.686386e+00
0.056         	4.686775e+00
0.05625       	4.687108e+00
0.0565        	4.687628e+00
0.05675       	4.688339e+00
0.057         	4.689135e+00
0.05725       	4.689808e+00
0.0575        	4.690321e+00
0.05775       	4.690903e+00
0.058         	4.691665e+00
0.05825       	4.692481e+00
0.0585        	4.693172e+00
0.05875       	4.693649e+00
0.059         	4.694130e+00
0.05925       	4.694811e+00
0.0595        	4.695592e+00
0.05975       	4.696327e+00
0.06          	4.696912e+00
0.06025       	4.697502e+00
0.0605        	4.698291e+00
0.06075       	4.699159e+00
0.061         	4.699951e+00
0.06125       	4.700561e+00
0.0615        	4.701108e+00
0.06175       	4.701848e+00
0.062         	4.702706e+00
0.06225       	4.703553e+00
0.0625        	4.704215e+00
0.06275       	4.704860e+00
0.063         	4.705616e+00
0.06325       	4.706440e+00
0.0635        	4.707291e+00
0.06375       	4.708086e+00
0.064         	4.708792e+00
0.06425       	4.709527e+00
0.0645        	4.710334e+00
0.06475       	4.711147e+00
0.065         	4.711922e+00
0.06525       	4.712593e+00
0.0655        	4.713257e+00
0.06575       	4.713977e+00
0.066         	4.714689e+00
0.06625       	4.715448e+00
0.0665        	4.716204e+00
0.06675       	4.716973e+00
0.067         	4.717781e+00
0.06725       	4.718569e+00
0.0675        	4.719331e+00
0.06775       	4.719998e+00
0.068         	4.720757e+00
0.06825       	4.721657e+00
0.0685        	4.722463e+00
0.06875       	4.723183e+00
0.069         	4.723823e+00
0.06925       	4.724520e+00
0.0695        	4.725363e+00
0.06975       	4.726169e+00
0.07          	4.726909e+00
0.07025       	4.727515e+00
0.0705        	4.728139e+00
0.07075       	4.728922e+00
0.071         	4.729696e+00
0.07125       	4.730406e+00
0.0715        	4.731094e+00
0.07175       	4.731899e+00
0.072         	4.732757e+00
0.07225       	4.733505e+00
0.0725        	4.734130e+00
0.07275       	4.734777e+00
0.073         	4.735589e+00
0.07325       	4.736522e+00
0.0735        	4.737348e+00
0.07375       	4.737935e+00
0.074         	4.738461e+00
0.07425       	4.739109e+00
0.0745        	4.739972e+00
0.07475       	4.740814e+00
0.075         	4.741444e+00
0.07525       	4.741978e+00
0.0755        	4.742582e+00
0.07575       	4.743419e+00
0.076         	4.744243e+00
0.07625       	4.744870e+00
0.0765        	4.745347e+00
0.07675       	4.745916e+00
0.077         	4.746751e+00
0.07725       	4.747641e+00
0.0775        	4.748285e+00
0.07775       	4.748711e+00
0.078         	4.749230e+00
0.07825       	4.750051e+00
0.0785        	4.750956e+00
0.07875       	4.751607e+00
0.079         	4.751991e+00
0.07925       	4.752469e+00
0.0795        	4.753284e+00
0.07975       	4.754231e+00
0.08          	4.754904e+00
0.08025       	4.755235e+00
0.0805        	4.755604e+00
0.08075       	4.756259e+00
0.081         	4.757131e+00
0.08125       	4.757887e+00
0.0815        	4.758332e+00
0.08175       	4.758654e+00
0.082         	4.759101e+00
0.08225       	4.759805e+00
0.0825        	4.760574e+00
0.08275       	4.761155e+00
0.083         	4.761506e+00
0.08325       	4.761881e+00
0.0835        	4.762463e+00
0.08375       	4.763211e+00
0.084         	4.763855e+00
0.08425       	4.764204e+00
0.0845        	4.764471e+00
0.08475       	4.764983e+00
0.085         	4.765657e+00
0.08525       	4.766286e+00
0.0855        	4.766667e+00
0.08575       	4.766936e+00
0.086         	4.767345e+00
0.08625       	4.767945e+00
0.0865        	4.768528e+00
0.08675       	4.768950e+00
0.087         	4.769265e+00
0.08725       	4.769658e+00
0.0875        	4.770216e+00
0.08775       	4.770839e+00
0.088         	4.771300e+00
0.08825       	4.771506e+00
0.0885        	4.771736e+00
0.08875       	4.772203e+00
0.089         	4.772779e+00
0.08925       	4.773246e+00
0.0895        	4.773423e+00
0.08975       	4.773507e+00
0.09          	4.773864e+00
0.09025       	4.774361e+00
0.0905        	4.774782e+00
0.09075       	4.774960e+00
0.091         	4.775045e+00
0.09125       	4.775341e+00
0.0915        	4.775846e+00
0.09175       	4.776306e+00
