# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00025       	rho           	1.400005e+00	(3.038464e-01 8.274635e-02 1.439047e-19)	1	1.947725e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00025       	p             	9.999997e-01	(3.038464e-01 8.274635e-02 1.439047e-19)	1	1.583574e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0005        	rho           	1.400004e+00	(3.038464e-01 8.274635e-02 1.439047e-19)	1	2.478420e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0005        	p             	9.999992e-01	(3.038464e-01 8.274635e-02 1.439047e-19)	1	2.239178e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00075       	rho           	1.400005e+00	(2.085967e-01 5.770281e-02 -3.549623e-19)	0	2.992627e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00075       	p             	9.999995e-01	(2.085967e-01 5.770281e-02 -3.549623e-19)	0	2.955664e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.001         	rho           	1.400005e+00	(8.096188e-02 2.414441e-02 4.897729e-20)	7	3.455319e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.001         	p             	9.999997e-01	(8.096188e-02 2.414441e-02 4.897729e-20)	7	3.676990e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00125       	rho           	1.399980e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	3.854403e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00125       	p             	9.999706e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.368872e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0015        	rho           	1.399760e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.187906e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0015        	p             	9.997766e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	5.004377e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00175       	rho           	1.400005e+00	(9.519674e-04 3.107796e-03 3.624891e-20)	14	4.459364e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00175       	p             	9.999779e-01	(2.856966e-03 3.608668e-03 -5.880987e-20)	14	5.561049e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.002         	rho           	1.399919e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.671530e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.002         	p             	9.999418e-01	(2.856966e-03 3.608668e-03 -5.880987e-20)	14	6.017275e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00225       	rho           	1.399455e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.825627e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00225       	p             	9.994686e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.356481e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0025        	rho           	1.399264e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.919092e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.0025        	p             	9.992648e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.565466e+00	(3.038464e-01 8.185904e-02 2.729981e-19)	1
0.00275       	rho           	1.399210e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.955216e+00	(3.000364e-01 8.084454e-02 -3.912856e-20)	1
0.00275       	p             	9.992165e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.649076e+00	(3.000364e-01 8.084454e-02 -3.912856e-20)	1
0.003         	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.951281e+00	(2.790815e-01 7.526478e-02 -3.297872e-19)	1
0.003         	p             	9.992093e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.644896e+00	(2.809864e-01 7.577203e-02 1.558156e-19)	1
0.00325       	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.948658e+00	(2.562215e-01 6.917776e-02 2.145648e-19)	1
0.00325       	p             	9.992113e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.641022e+00	(2.562215e-01 6.917776e-02 2.145648e-19)	1
0.0035        	rho           	1.399199e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.946436e+00	(2.314566e-01 6.258349e-02 -3.375885e-20)	0
0.0035        	p             	9.992136e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.637815e+00	(2.333616e-01 6.309075e-02 -2.787831e-19)	0
0.00375       	rho           	1.399254e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.944497e+00	(2.066917e-01 5.598922e-02 2.723907e-19)	0
0.00375       	p             	9.992785e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.635015e+00	(2.085967e-01 5.649647e-02 -1.222822e-20)	0
0.004         	rho           	1.399275e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.942794e+00	(1.819267e-01 4.939495e-02 9.378016e-21)	6
0.004         	p             	9.993015e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.632515e+00	(1.838317e-01 4.990220e-02 3.258771e-20)	6
0.00425       	rho           	1.399221e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.941286e+00	(1.571618e-01 4.280067e-02 -1.839940e-20)	6
0.00425       	p             	9.992392e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.630366e+00	(1.609718e-01 4.381518e-02 -3.106159e-20)	6
0.0045        	rho           	1.399203e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.939974e+00	(1.343018e-01 3.671365e-02 1.572654e-19)	6
0.0045        	p             	9.992196e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.628447e+00	(1.362068e-01 3.722090e-02 -1.483384e-20)	6
0.00475       	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.938790e+00	(1.095368e-01 3.011937e-02 2.745019e-20)	7
0.00475       	p             	9.992139e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.626710e+00	(1.114418e-01 3.062662e-02 -1.367064e-20)	7
0.005         	rho           	1.399197e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.937716e+00	(8.477188e-02 2.352509e-02 9.895862e-20)	7
0.005         	p             	9.992127e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.625153e+00	(8.858187e-02 2.453959e-02 -2.698598e-20)	7
0.00525       	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.936746e+00	(6.000691e-02 1.693081e-02 -1.303129e-19)	15
0.00525       	p             	9.992130e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.623779e+00	(6.381690e-02 1.794531e-02 -9.570948e-20)	15
0.0055        	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.936643e+00	(4.095693e-02 1.185829e-02 3.232751e-20)	15
0.0055        	p             	9.992136e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.624274e+00	(4.095693e-02 1.185829e-02 3.232751e-20)	15
0.00575       	rho           	1.399199e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.924389e+00	(3.905193e-02 1.135103e-02 3.918513e-20)	15
0.00575       	p             	9.992139e-01	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	6.604078e+00	(3.905193e-02 1.135103e-02 3.918513e-20)	15
0.006         	rho           	1.399198e+00	(4.761964e-03 4.109540e-03 -5.989027e-20)	14	4.894229e+00	(3.905193e-02 1.135103e-02 3.918513e-20)	15
