# Region type : patch obstacle
# Faces       : 160
# Area        : 3.155522e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
0.00025       	1.369365e+00
0.0005        	1.776523e+00
0.00075       	2.219700e+00
0.001         	2.685624e+00
0.00125       	3.157186e+00
0.0015        	3.620431e+00
0.00175       	4.064816e+00
0.002         	4.481278e+00
0.00225       	4.861870e+00
0.0025        	5.199804e+00
0.00275       	5.489110e+00
0.003         	5.725072e+00
0.00325       	5.904624e+00
0.0035        	6.025731e+00
0.00375       	6.085880e+00
0.004         	6.085672e+00
0.00425       	6.036650e+00
0.0045        	5.955052e+00
0.00475       	5.851760e+00
0.005         	5.733978e+00
0.00525       	5.607416e+00
0.0055        	5.476457e+00
0.00575       	5.344791e+00
0.006         	5.215653e+00
0.00625       	5.091953e+00
0.0065        	4.976415e+00
0.00675       	4.871245e+00
0.007         	4.777850e+00
0.00725       	4.697825e+00
0.0075        	4.633448e+00
0.00775       	4.585641e+00
0.008         	4.553150e+00
0.00825       	4.534039e+00
0.0085        	4.524762e+00
0.00875       	4.522265e+00
0.009         	4.524594e+00
0.00925       	4.530386e+00
0.0095        	4.538561e+00
0.00975       	4.548250e+00
0.01          	4.558740e+00
0.01025       	4.569543e+00
0.0105        	4.580320e+00
0.01075       	4.590761e+00
0.011         	4.600619e+00
0.01125       	4.609778e+00
0.0115        	4.618136e+00
0.01175       	4.625628e+00
0.012         	4.632269e+00
0.01225       	4.637972e+00
0.0125        	4.642720e+00
0.01275       	4.646636e+00
0.013         	4.649937e+00
0.01325       	4.652695e+00
0.0135        	4.655049e+00
0.01375       	4.657176e+00
0.014         	4.659192e+00
0.01425       	4.661221e+00
0.0145        	4.663297e+00
0.01475       	4.665421e+00
0.015         	4.667563e+00
0.01525       	4.669627e+00
0.0155        	4.671440e+00
0.01575       	4.672962e+00
0.016         	4.674273e+00
0.01625       	4.675359e+00
0.0165        	4.676231e+00
0.01675       	4.676990e+00
0.017         	4.677631e+00
0.01725       	4.678154e+00
0.0175        	4.678581e+00
0.01775       	4.678894e+00
0.018         	4.679008e+00
0.01825       	4.678873e+00
0.0185        	4.678537e+00
0.01875       	4.678070e+00
0.019         	4.677575e+00
0.01925       	4.677177e+00
0.0195        	4.676908e+00
0.01975       	4.676723e+00
0.02          	4.676656e+00
0.02025       	4.676650e+00
0.0205        	4.676665e+00
0.02075       	4.676671e+00
0.021         	4.676689e+00
0.02125       	4.676684e+00
0.0215        	4.676650e+00
0.02175       	4.676740e+00
0.022         	4.676967e+00
0.02225       	4.677327e+00
0.0225        	4.677773e+00
0.02275       	4.678270e+00
0.023         	4.678721e+00
0.02325       	4.679049e+00
0.0235        	4.679270e+00
0.02375       	4.679393e+00
0.024         	4.679456e+00
0.02425       	4.679555e+00
0.0245        	4.679715e+00
0.02475       	4.679925e+00
0.025         	4.680204e+00
0.02525       	4.680529e+00
0.0255        	4.680831e+00
0.02575       	4.681064e+00
0.026         	4.681215e+00
0.02625       	4.681285e+00
0.0265        	4.681307e+00
0.02675       	4.681355e+00
0.027         	4.681443e+00
0.02725       	4.681621e+00
0.0275        	4.681846e+00
0.02775       	4.682060e+00
0.028         	4.682230e+00
0.02825       	4.682328e+00
0.0285        	4.682359e+00
0.02875       	4.682322e+00
0.029         	4.682230e+00
0.02925       	4.682183e+00
0.0295        	4.682177e+00
0.02975       	4.682191e+00
0.03          	4.682229e+00
0.03025       	4.682306e+00
0.0305        	4.682396e+00
0.03075       	4.682439e+00
0.031         	4.682428e+00
0.03125       	4.682402e+00
0.0315        	4.682333e+00
0.03175       	4.682278e+00
0.032         	4.682245e+00
0.03225       	4.682284e+00
0.0325        	4.682380e+00
0.03275       	4.682470e+00
0.033         	4.682551e+00
0.03325       	4.682615e+00
0.0335        	4.682631e+00
0.03375       	4.682623e+00
0.034         	4.682525e+00
0.03425       	4.682398e+00
0.0345        	4.682334e+00
0.03475       	4.682331e+00
0.035         	4.682411e+00
0.03525       	4.682515e+00
0.0355        	4.682604e+00
0.03575       	4.682659e+00
0.036         	4.682641e+00
0.03625       	4.682604e+00
0.0365        	4.682554e+00
0.03675       	4.682467e+00
0.037         	4.682406e+00
0.03725       	4.682408e+00
0.0375        	4.682463e+00
0.03775       	4.682517e+00
0.038         	4.682511e+00
0.03825       	4.682419e+00
0.0385        	4.682216e+00
0.03875       	4.681954e+00
0.039         	4.681722e+00
0.03925       	4.681528e+00
0.0395        	4.681412e+00
0.03975       	4.681385e+00
0.04          	4.681415e+00
0.04025       	4.681437e+00
0.0405        	4.681405e+00
0.04075       	4.681280e+00
0.041         	4.681038e+00
0.04125       	4.680704e+00
0.0415        	4.680395e+00
0.04175       	4.680174e+00
0.042         	4.680072e+00
0.04225       	4.680087e+00
0.0425        	4.680155e+00
0.04275       	4.680248e+00
0.043         	4.680302e+00
0.04325       	4.680283e+00
0.0435        	4.680169e+00
0.04375       	4.679937e+00
0.044         	4.679645e+00
0.04425       	4.679350e+00
0.0445        	4.679148e+00
0.04475       	4.679078e+00
0.045         	4.679086e+00
0.04525       	4.679127e+00
0.0455        	4.679163e+00
0.04575       	4.679146e+00
0.046         	4.679050e+00
0.04625       	4.678832e+00
0.0465        	4.678532e+00
0.04675       	4.678171e+00
0.047         	4.677854e+00
0.04725       	4.677661e+00
0.0475        	4.677601e+00
0.04775       	4.677657e+00
0.048         	4.677753e+00
0.04825       	4.677779e+00
0.0485        	4.677714e+00
0.04875       	4.677564e+00
0.049         	4.677350e+00
0.04925       	4.677066e+00
0.0495        	4.676813e+00
0.04975       	4.676681e+00
0.05          	4.676701e+00
0.05025       	4.676811e+00
0.0505        	4.676981e+00
0.05075       	4.677123e+00
0.051         	4.677189e+00
0.05125       	4.677162e+00
0.0515        	4.677068e+00
0.05175       	4.676916e+00
0.052         	4.676807e+00
0.05225       	4.676761e+00
0.0525        	4.676826e+00
0.05275       	4.677006e+00
0.053         	4.677307e+00
0.05325       	4.677708e+00
0.0535        	4.678153e+00
0.05375       	4.678571e+00
0.054         	4.678965e+00
0.05425       	4.679305e+00
0.0545        	4.679645e+00
0.05475       	4.680006e+00
0.055         	4.680393e+00
0.05525       	4.680846e+00
0.0555        	4.681400e+00
0.05575       	4.682053e+00
0.056         	4.682777e+00
0.05625       	4.683508e+00
0.0565        	4.684254e+00
0.05675       	4.684964e+00
0.057         	4.685636e+00
0.05725       	4.686311e+00
0.0575        	4.686949e+00
0.05775       	4.687573e+00
0.058         	4.688187e+00
0.05825       	4.688823e+00
0.0585        	4.689500e+00
0.05875       	4.690163e+00
0.059         	4.690825e+00
0.05925       	4.691475e+00
0.0595        	4.692073e+00
0.05975       	4.692710e+00
0.06          	4.693380e+00
0.06025       	4.694067e+00
0.0605        	4.694780e+00
0.06075       	4.695487e+00
0.061         	4.696207e+00
0.06125       	4.696934e+00
0.0615        	4.697659e+00
0.06175       	4.698406e+00
0.062         	4.699101e+00
0.06225       	4.699789e+00
0.0625        	4.700543e+00
0.06275       	4.701329e+00
0.063         	4.702112e+00
0.06325       	4.702863e+00
0.0635        	4.703594e+00
0.06375       	4.704281e+00
0.064         	4.704940e+00
0.06425       	4.705635e+00
0.0645        	4.706354e+00
0.06475       	4.707062e+00
0.065         	4.707815e+00
0.06525       	4.708657e+00
0.0655        	4.709545e+00
0.06575       	4.710390e+00
0.066         	4.711155e+00
0.06625       	4.711837e+00
0.0665        	4.712437e+00
0.06675       	4.713037e+00
0.067         	4.713728e+00
0.06725       	4.714525e+00
0.0675        	4.715392e+00
0.06775       	4.716328e+00
0.068         	4.717287e+00
0.06825       	4.718187e+00
0.0685        	4.718987e+00
0.06875       	4.719696e+00
0.069         	4.720327e+00
0.06925       	4.720941e+00
0.0695        	4.721598e+00
0.06975       	4.722340e+00
0.07          	4.723165e+00
0.07025       	4.724041e+00
0.0705        	4.724954e+00
0.07075       	4.725853e+00
0.071         	4.726681e+00
0.07125       	4.727394e+00
0.0715        	4.727964e+00
0.07175       	4.728426e+00
0.072         	4.728874e+00
0.07225       	4.729406e+00
0.0725        	4.730112e+00
0.07275       	4.730958e+00
0.073         	4.731904e+00
0.07325       	4.732910e+00
0.0735        	4.733864e+00
0.07375       	4.734702e+00
0.074         	4.735386e+00
0.07425       	4.735942e+00
0.0745        	4.736412e+00
0.07475       	4.736891e+00
0.075         	4.737508e+00
0.07525       	4.738324e+00
0.0755        	4.739260e+00
0.07575       	4.740230e+00
0.076         	4.741148e+00
0.07625       	4.741941e+00
0.0765        	4.742591e+00
0.07675       	4.743093e+00
0.077         	4.743528e+00
0.07725       	4.743980e+00
0.0775        	4.744491e+00
0.07775       	4.745143e+00
0.078         	4.745950e+00
0.07825       	4.746879e+00
0.0785        	4.747858e+00
0.07875       	4.748809e+00
0.079         	4.749653e+00
0.07925       	4.750349e+00
0.0795        	4.750904e+00
0.07975       	4.751364e+00
0.08          	4.751778e+00
0.08025       	4.752203e+00
0.0805        	4.752715e+00
0.08075       	4.753354e+00
0.081         	4.754116e+00
0.08125       	4.754941e+00
0.0815        	4.755764e+00
0.08175       	4.756523e+00
0.082         	4.757144e+00
0.08225       	4.757660e+00
0.0825        	4.758104e+00
0.08275       	4.758500e+00
0.083         	4.758923e+00
0.08325       	4.759379e+00
0.0835        	4.759909e+00
0.08375       	4.760491e+00
0.084         	4.761112e+00
0.08425       	4.761760e+00
0.0845        	4.762370e+00
0.08475       	4.762902e+00
0.085         	4.763381e+00
0.08525       	4.763761e+00
0.0855        	4.764101e+00
0.08575       	4.764439e+00
0.086         	4.764802e+00
0.08625       	4.765197e+00
0.0865        	4.765628e+00
0.08675       	4.766121e+00
0.087         	4.766630e+00
0.08725       	4.767128e+00
0.0875        	4.767620e+00
0.08775       	4.768042e+00
0.088         	4.768399e+00
0.08825       	4.768757e+00
0.0885        	4.769123e+00
0.08875       	4.769491e+00
0.089         	4.769847e+00
0.08925       	4.770223e+00
0.0895        	4.770629e+00
0.08975       	4.771033e+00
0.09          	4.771455e+00
0.09025       	4.771871e+00
0.0905        	4.772219e+00
0.09075       	4.772532e+00
0.091         	4.772856e+00
0.09125       	4.773151e+00
0.0915        	4.773390e+00
0.09175       	4.773600e+00
0.092         	4.773788e+00
0.09225       	4.773933e+00
0.0925        	4.774055e+00
0.09275       	4.774195e+00
0.093         	4.774305e+00
