# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.00025       	rho           	1.400005e+00	(3.028905e-01 8.383078e-02 7.237375e-20)	4	1.669411e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00025       	p             	9.999997e-01	(3.028905e-01 8.383078e-02 7.237375e-20)	4	1.278283e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0005        	rho           	1.400004e+00	(3.028905e-01 8.383078e-02 7.237375e-20)	4	1.936178e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0005        	p             	9.999989e-01	(3.028905e-01 8.383078e-02 7.237375e-20)	4	1.575438e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00075       	rho           	1.400003e+00	(3.028905e-01 8.383078e-02 7.237375e-20)	4	2.201151e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00075       	p             	9.999979e-01	(3.028905e-01 8.383078e-02 7.237375e-20)	4	1.892094e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.001         	rho           	1.400002e+00	(3.028905e-01 8.383078e-02 7.237375e-20)	4	2.465163e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.001         	p             	9.999968e-01	(3.028905e-01 8.383078e-02 7.237375e-20)	4	2.228447e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00125       	rho           	1.400003e+00	(2.457413e-01 6.909194e-02 -6.505071e-20)	5	2.725946e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00125       	p             	9.999978e-01	(2.457413e-01 6.909194e-02 -6.505071e-20)	5	2.580823e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0015        	rho           	1.400003e+00	(1.809719e-01 5.238785e-02 -1.692672e-19)	2	2.976261e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0015        	p             	9.999985e-01	(1.809719e-01 5.238785e-02 -1.692672e-19)	2	2.939277e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00175       	rho           	1.400004e+00	(1.162023e-01 3.568371e-02 1.594133e-19)	3	3.213728e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00175       	p             	9.999989e-01	(1.162023e-01 3.568371e-02 1.594133e-19)	3	3.298985e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.002         	rho           	1.400004e+00	(4.762268e-02 1.799694e-02 -9.059322e-20)	8	3.436711e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.002         	p             	9.999992e-01	(4.762268e-02 1.799694e-02 -9.059322e-20)	8	3.655694e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00225       	rho           	1.400001e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	3.644224e+00	(3.048000e-01 8.255503e-02 -2.612327e-21)	4
0.00225       	p             	9.999956e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.005580e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0025        	rho           	1.399861e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	3.835868e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0025        	p             	9.998379e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.345215e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00275       	rho           	1.399810e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.011678e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00275       	p             	9.998260e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.671455e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.003         	rho           	1.400005e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.171969e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.003         	p             	9.999892e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.981387e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00325       	rho           	1.399977e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.317245e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00325       	p             	9.999309e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	5.272361e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0035        	rho           	1.399894e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.447918e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0035        	p             	9.998294e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	5.541740e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00375       	rho           	1.399798e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.564045e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00375       	p             	9.997273e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	5.786609e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.004         	rho           	1.399723e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.666025e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.004         	p             	9.996522e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	6.005090e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00425       	rho           	1.399692e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.753902e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00425       	p             	9.996196e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	6.195390e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0045        	rho           	1.399727e+00	(5.712852e-03 7.188351e-03 1.041815e-20)	9	4.827444e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0045        	p             	9.996463e-01	(5.712852e-03 7.188351e-03 1.041815e-20)	9	6.355835e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00475       	rho           	1.399472e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.886223e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00475       	p             	9.996246e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.484863e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.005         	rho           	1.399186e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.929552e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.005         	p             	9.992925e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.580685e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00525       	rho           	1.398981e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.956979e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.00525       	p             	9.990518e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.642661e+00	(3.028905e-01 8.204976e-02 -1.371898e-19)	4
0.0055        	rho           	1.398859e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.969703e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.0055        	p             	9.989193e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.672508e+00	(2.990805e-01 8.104165e-02 4.499130e-19)	4
0.00575       	rho           	1.398819e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.977595e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.00575       	p             	9.988839e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.690584e+00	(2.952706e-01 8.003354e-02 -3.627490e-20)	4
0.006         	rho           	1.398853e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.975517e+00	(2.876507e-01 7.801732e-02 1.148003e-19)	4
0.006         	p             	9.989332e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.688264e+00	(2.876507e-01 7.801732e-02 1.148003e-19)	4
0.00625       	rho           	1.398949e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.974036e+00	(2.724109e-01 7.398488e-02 7.445588e-20)	4
0.00625       	p             	9.990503e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.684946e+00	(2.724109e-01 7.398488e-02 7.445588e-20)	4
0.0065        	rho           	1.399087e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.972907e+00	(2.609811e-01 7.096055e-02 2.574313e-20)	4
0.0065        	p             	9.992137e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.683244e+00	(2.609811e-01 7.096055e-02 2.574313e-20)	4
0.00675       	rho           	1.399246e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.972354e+00	(2.495512e-01 6.793621e-02 3.734462e-20)	4
0.00675       	p             	9.993991e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.682556e+00	(2.495512e-01 6.793621e-02 3.734462e-20)	4
0.007         	rho           	1.399405e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.971765e+00	(2.343114e-01 6.390375e-02 8.873400e-21)	5
0.007         	p             	9.995823e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.681770e+00	(2.381213e-01 6.491187e-02 2.711123e-19)	5
0.00725       	rho           	1.399543e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.971332e+00	(2.228815e-01 6.087941e-02 -1.803750e-19)	5
0.00725       	p             	9.997468e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.681020e+00	(2.266915e-01 6.188752e-02 -1.669193e-20)	5
0.0075        	rho           	1.399646e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970909e+00	(2.114516e-01 5.785506e-02 -3.234490e-19)	5
0.0075        	p             	9.998672e-01	(9.522837e-03 8.170950e-03 3.516145e-19)	9	6.680297e+00	(2.152616e-01 5.886318e-02 2.722265e-19)	5
0.00775       	rho           	1.399704e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970496e+00	(2.000217e-01 5.483071e-02 -2.554068e-20)	5
0.00775       	p             	9.999116e-01	(3.238274e-02 1.765962e-02 -2.777854e-20)	8	6.679602e+00	(2.038317e-01 5.583883e-02 3.587899e-19)	5
0.008         	rho           	1.399714e+00	(9.522837e-03 8.170950e-03 3.516145e-19)	9	4.970095e+00	(1.885918e-01 5.180636e-02 -2.955173e-20)	2
