# Region type : patch obstacle
# Faces       : 80
# Area        : 3.155522e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(p)
0.00025       	1.180386e+00
0.0005        	1.369842e+00
0.00075       	1.568498e+00
0.001         	1.776326e+00
0.00125       	1.992934e+00
0.0015        	2.216581e+00
0.00175       	2.445085e+00
0.002         	2.676314e+00
0.00225       	2.908232e+00
0.0025        	3.139110e+00
0.00275       	3.367537e+00
0.003         	3.592223e+00
0.00325       	3.811978e+00
0.0035        	4.025706e+00
0.00375       	4.232355e+00
0.004         	4.430946e+00
0.00425       	4.620585e+00
0.0045        	4.800446e+00
0.00475       	4.969766e+00
0.005         	5.127835e+00
0.00525       	5.273970e+00
0.0055        	5.407584e+00
0.00575       	5.528205e+00
0.006         	5.635464e+00
0.00625       	5.729088e+00
0.0065        	5.808855e+00
0.00675       	5.874592e+00
0.007         	5.926184e+00
0.00725       	5.963465e+00
0.0075        	5.986175e+00
0.00775       	5.994448e+00
0.008         	5.989131e+00
0.00825       	5.971577e+00
0.0085        	5.943456e+00
0.00875       	5.906610e+00
0.009         	5.862812e+00
0.00925       	5.813404e+00
0.0095        	5.759434e+00
0.00975       	5.701810e+00
0.01          	5.641352e+00
0.01025       	5.578795e+00
0.0105        	5.514787e+00
0.01075       	5.449902e+00
0.011         	5.384665e+00
0.01125       	5.319564e+00
0.0115        	5.255053e+00
0.01175       	5.191557e+00
0.012         	5.129480e+00
0.01225       	5.069201e+00
0.0125        	5.011083e+00
0.01275       	4.955466e+00
0.013         	4.902677e+00
0.01325       	4.853039e+00
0.0135        	4.806894e+00
0.01375       	4.764635e+00
0.014         	4.726657e+00
0.01425       	4.693148e+00
0.0145        	4.664084e+00
0.01475       	4.639267e+00
0.015         	4.618539e+00
0.01525       	4.601717e+00
0.0155        	4.588444e+00
0.01575       	4.578246e+00
0.016         	4.570596e+00
0.01625       	4.565038e+00
0.0165        	4.561218e+00
0.01675       	4.558856e+00
0.017         	4.557727e+00
0.01725       	4.557632e+00
0.0175        	4.558404e+00
0.01775       	4.559896e+00
0.018         	4.561978e+00
0.01825       	4.564542e+00
0.0185        	4.567519e+00
0.01875       	4.570819e+00
0.019         	4.574394e+00
0.01925       	4.578188e+00
0.0195        	4.582143e+00
0.01975       	4.586206e+00
0.02          	4.590341e+00
0.02025       	4.594517e+00
0.0205        	4.598700e+00
0.02075       	4.602857e+00
0.021         	4.606955e+00
0.02125       	4.610965e+00
0.0215        	4.614873e+00
0.02175       	4.618664e+00
0.022         	4.622325e+00
0.02225       	4.625814e+00
0.0225        	4.629117e+00
0.02275       	4.632240e+00
0.023         	4.635189e+00
0.02325       	4.637950e+00
0.0235        	4.640504e+00
0.02375       	4.642854e+00
0.024         	4.645011e+00
0.02425       	4.646991e+00
0.0245        	4.648783e+00
0.02475       	4.650361e+00
